ingredient_id,成分名称,成分类别,成分角色,基础属性,是否含咖啡因,是否含乳,感官标签,状态/体验标签,适合状态,不适合状态,健康约束,适合场景,视觉标签,标签来源建议,备注
I022,普洱茶,茶基类,基底,茶香、苦感、温热,中,否,茶香、苦感、温热、浓郁,专注、低刺激、陪伴,想放松、想安抚、疲惫,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,寒冷天气、下午学习、社交,暖色、低饱和、圆润、植物元素,产品调研 + 人工标注,适合热饮和低糖茶饮；风味偏厚重
I023,白茶,茶基类,基底,茶香、轻盈、低负担,低,否,茶香、轻盈、低负担、清爽,低刺激、安抚、专注,想放松、紧张、想安抚,咖啡因敏感,低糖、咖啡因敏感慎用、低刺激,图书馆/自习、下午学习、夜间休息,高明度、低饱和、柔和线条、植物元素,产品调研 + 人工标注,适合清淡茶饮；仍需标注含咖啡因
I024,抹茶,茶基类,基底,茶香、苦感、浓郁,高,否,茶香、苦感、浓郁、仪式感,提神、满足、专注,困倦、想提神、想满足,咖啡因敏感、胃敏感、控糖,咖啡因敏感慎用、胃敏感慎用、控糖慎用、夜间慎用,早晨、下午学习、社交,冷色、高明度、圆润、植物元素,产品调研 + 人工标注,适合奶基和甜品型饮品；甜度建议可调
I025,焙茶,茶基类,基底,茶香、咖啡香、温热,低,否,茶香、咖啡香、温热、浓郁,满足、陪伴、专注,想满足、想安抚、疲惫,咖啡因敏感、胃敏感,咖啡因敏感慎用、胃敏感慎用、夜间慎用,寒冷天气、社交、下午学习,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合热饮和奶基；烘焙香适合安静场景
I026,玄米茶,茶基类,基底,茶香、温热、低负担,低,否,茶香、温热、低负担、仪式感,安抚、陪伴、低刺激,想安抚、想放松、紧张,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用,寒冷天气、夜间休息、图书馆/自习,暖色、低饱和、圆润、植物元素,产品调研 + 人工标注,适合温热茶饮；仍需保留咖啡因提示
I027,轻发酵乌龙,茶基类,基底,茶香、花香、清爽,中,否,茶香、花香、清爽、轻盈,清爽、专注、安抚,紧张、想放松、想安抚,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,图书馆/自习、下午学习、社交,高明度、冷色、植物元素、柔和线条,产品调研 + 人工标注,适合轻盈茶饮和花果茶；注意茶浓度
I028,牛奶,奶基类,基底、口感,奶香、顺滑、温热,否,是,奶香、顺滑、温热、浓郁,安抚、满足、陪伴,想安抚、想满足、低落,乳糖不耐、控糖,乳糖不耐慎用、控糖慎用、过敏风险,早晨、寒冷天气、夜间休息,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合奶茶、热饮和奶基饮品；可提供无乳替代
I029,低脂牛奶,奶基类,基底、口感,奶香、顺滑、低负担,否,是,奶香、顺滑、低负担、轻盈,满足、低刺激、陪伴,想满足、想安抚、疲惫,乳糖不耐,乳糖不耐慎用、过敏风险,早晨、下午学习、图书馆/自习,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合希望口感顺滑但不厚重的奶基饮品
I030,鲜奶,奶基类,基底、口感,奶香、顺滑、浓郁,否,是,奶香、顺滑、浓郁、温热,满足、安抚、陪伴,低落、想安抚、想满足,乳糖不耐、控糖,乳糖不耐慎用、控糖慎用、过敏风险,早晨、寒冷天气、社交,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合鲜奶茶和热饮；需要标注含乳
I031,酸奶,奶基类,基底、口感,酸感、奶香、顺滑,否,是,酸感、奶香、顺滑、清爽,清爽、满足、轻补充,运动后、想满足、疲惫,乳糖不耐、胃敏感、控糖,乳糖不耐慎用、胃敏感慎用、控糖慎用、过敏风险,运动后、炎热天气、下午学习,高明度、低饱和、圆润、植物元素,产品调研 + 人工标注,适合水果酸奶饮；需控制糖分和酸度
I032,燕麦奶,奶基类,基底、口感,奶香、顺滑、低负担,否,否,奶香、顺滑、低负担、轻盈,安抚、低刺激、陪伴,乳糖不耐、想安抚、想放松,控糖,低糖、无乳、低刺激、过敏风险,早晨、图书馆/自习、夜间休息,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合无乳奶基替代；注意谷物过敏提示
I033,豆奶,奶基类,基底、口感,奶香、顺滑、温热,否,否,奶香、顺滑、温热、低负担,安抚、满足、低刺激,想安抚、想满足、低落,控糖,低糖、无乳、过敏风险,早晨、寒冷天气、下午学习,暖色、低饱和、圆润、植物元素,产品调研 + 人工标注,适合植物奶基；需标注大豆过敏风险
I034,椰奶,奶基类,基底、口感,奶香、果香、顺滑,否,否,奶香、果香、顺滑、浓郁,满足、陪伴、释放,想满足、低落、想释放,控糖,无乳、控糖慎用、过敏风险,社交、炎热天气、下午学习,暖色、高明度、圆润、植物元素,产品调研 + 人工标注,适合热带风味奶基；甜度建议可调
I035,杏仁奶,奶基类,基底、口感,奶香、顺滑、轻盈,否,否,奶香、顺滑、轻盈、低负担,低刺激、安抚、陪伴,想放松、想安抚、乳糖不耐,控糖,低糖、无乳、过敏风险,早晨、图书馆/自习、夜间休息,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合无乳奶基；需明显标注坚果过敏风险
I036,奶盖,奶基类,基底、口感,奶香、顺滑、浓郁,否,是,奶香、顺滑、浓郁、仪式感,满足、陪伴、释放,想满足、低落、想释放,乳糖不耐、控糖,乳糖不耐慎用、控糖慎用、过敏风险,社交、下午学习、寒冷天气,暖色、圆润、强对比、柔和线条,产品调研 + 用户反馈 + 人工标注,适合茶饮顶部口感层；建议提供轻奶盖版本
I037,芝士奶盖,奶基类,基底、口感,奶香、甜感、浓郁,否,是,奶香、顺滑、浓郁、过瘾感,满足、释放、陪伴,想满足、想释放、低落,乳糖不耐、控糖,乳糖不耐慎用、控糖慎用、过敏风险,社交、下午学习,暖色、圆润、强对比、低饱和,产品调研 + 人工标注,适合奖励感较强的饮品；不建议低负担场景
I038,淡奶油,奶基类,基底、口感,奶香、顺滑、浓郁,否,是,奶香、顺滑、浓郁、甜感,满足、陪伴,想满足、低落、想安抚,乳糖不耐、控糖,乳糖不耐慎用、控糖慎用、过敏风险,社交、寒冷天气,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合甜品型饮品；需要控制用量
I039,炼乳,奶基类,基底、口感,奶香、甜感、浓郁,否,是,奶香、甜感、浓郁、顺滑,满足、陪伴,想满足、低落,乳糖不耐、控糖,乳糖不耐慎用、控糖慎用、过敏风险,社交、寒冷天气、下午学习,暖色、圆润、强对比,产品调研 + 人工标注,适合增加甜感和厚度；需要作为高糖提醒
I040,乳酸菌饮品,奶基类,基底、口感,酸感、奶香、清爽,否,是,酸感、奶香、清爽、轻盈,清爽、轻补充、满足,运动后、想满足、疲惫,乳糖不耐、胃敏感、控糖,乳糖不耐慎用、胃敏感慎用、控糖慎用、过敏风险,运动后、炎热天气、通勤,高明度、冷色、圆润、流动线条,产品调研 + 人工标注,适合水果搭配；注意酸度、糖分和含乳提示
I041,椰乳,奶基类,基底、口感,奶香、果香、浓郁,否,否,奶香、果香、浓郁、顺滑,满足、安抚、陪伴,想满足、想安抚、低落,控糖,无乳、控糖慎用、过敏风险,寒冷天气、社交、下午学习,暖色、高明度、圆润、植物元素,产品调研 + 人工标注,适合热带奶基和热饮；甜度建议可调
I042,可可奶基,奶基类,风味、基底,咖啡香、奶香、浓郁,低,是,咖啡香、奶香、浓郁、温热,满足、陪伴、专注,想满足、疲惫、想提神,咖啡因敏感、乳糖不耐、控糖,咖啡因敏感慎用、乳糖不耐慎用、控糖慎用、夜间慎用、过敏风险,寒冷天气、下午学习、社交,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合热可可和奶基饮品；需标注含乳与咖啡因
I043,玫瑰,花草类,风味、装饰,花香、仪式感、轻盈,否,否,花香、仪式感、甜感、轻盈,安抚、陪伴、满足,低落、想安抚、想满足,过敏风险,低糖、过敏风险,社交、夜间休息、下午学习,暖色、低饱和、植物元素、柔和线条,产品调研 + 人工标注,适合花果茶和奶基；不写具体疗效日常体验描述，仅描述香气与体验
I044,桂花,花草类,风味、装饰,花香、甜感、温热,否,否,花香、甜感、温热、仪式感,安抚、陪伴、满足,想安抚、想满足、想放松,过敏风险、控糖,低糖、过敏风险,寒冷天气、社交、夜间休息,暖色、高明度、植物元素、柔和线条,产品调研 + 人工标注,适合桂花乌龙、热饮和花果茶；注意糖浆用量
I045,菊花,花草类,风味、装饰,花香、清爽、低负担,否,否,花香、清爽、低负担、轻盈,低刺激、放松、安抚,想放松、烦躁、想安抚,过敏风险,低糖、低咖啡因、过敏风险,夜间休息、炎热天气、图书馆/自习,高明度、冷色、植物元素、柔和线条,产品调研 + 人工标注,适合无咖啡因花草饮；避免表达具体健康疗效
I046,茉莉花,花草类,风味、装饰,花香、轻盈、清爽,否,否,花香、清爽、轻盈、仪式感,安抚、放松、陪伴,紧张、想放松、想安抚,过敏风险,低糖、低咖啡因、过敏风险,夜间休息、图书馆/自习、社交,高明度、低饱和、植物元素、柔和线条,产品调研 + 人工标注,适合花草茶和香气层；与茉莉绿茶需区分是否含咖啡因
I047,薰衣草,花草类,风味、装饰,花香、低负担、轻盈,否,否,花香、低负担、仪式感、温热,放松、安抚、陪伴,紧张、想放松、想安抚,过敏风险,低糖、低咖啡因、过敏风险,夜间休息、寒冷天气,低饱和、冷色、植物元素、柔和线条,产品调研 + 人工标注,适合营造安静氛围；仅描述放松感，不写具体疗效
I048,薄荷叶,花草类,风味、装饰,清爽、冰爽、植物香,否,否,清爽、冰爽、轻盈、过瘾感,清爽、释放、提神,烦躁、想释放、想提神,胃敏感,低糖、低咖啡因、胃敏感慎用、低刺激,炎热天气、运动后、通勤,冷色、高明度、植物元素、流动线条,产品调研 + 人工标注,适合冷饮和气泡饮；清凉感不宜过强
I049,洛神花,花草类,风味、装饰,酸感、花香,否,否,酸感、花香、清爽、过瘾感,清爽、释放、满足,烦躁、想释放、想满足,胃敏感、控糖,低糖、胃敏感慎用、过敏风险,炎热天气、社交、下午学习,强对比、暖色、植物元素、流动线条,产品调研 + 人工标注,适合花果茶和冷饮；酸度与颜色都较突出
I050,洋甘菊,花草类,风味、装饰,花香、温热、低负担,否,否,花香、温热、低负担、仪式感,放松、安抚、陪伴,紧张、想放松、想安抚,过敏风险,低糖、低咖啡因、过敏风险,夜间休息、寒冷天气、图书馆/自习,暖色、低饱和、植物元素、柔和线条,产品调研 + 人工标注,适合温热花草饮；避免写具体疗效
I051,柠檬草,花草类,风味、装饰,清爽、植物香、轻盈,否,否,清爽、轻盈、花香、低负担,清爽、低刺激、放松,烦躁、想放松、想安抚,胃敏感,低糖、低咖啡因、胃敏感慎用,炎热天气、通勤、夜间休息,高明度、冷色、植物元素、流动线条,产品调研 + 人工标注,适合清爽花草茶；可与柠檬区分酸度
I052,迷迭香,花草类,风味、装饰,植物香、仪式感、清爽,否,否,花香、清爽、仪式感、苦感,专注、清爽、低刺激,困倦、疲惫、想提神,过敏风险、胃敏感,低糖、低咖啡因、胃敏感慎用、过敏风险,图书馆/自习、下午学习、社交,冷色、低饱和、植物元素、柔和线条,产品调研 + 人工标注,适合少量增加香气层次；不建议味道过重
I053,金银花,花草类,风味、装饰,花香、清爽、低负担,否,否,花香、清爽、低负担、轻盈,低刺激、放松、安抚,烦躁、想放松、想安抚,过敏风险,低糖、低咖啡因、过敏风险,夜间休息、炎热天气,高明度、低饱和、植物元素、柔和线条,产品调研 + 人工标注,适合无咖啡因花草饮；避免写具体疗效等具体疗效表述
I054,蝶豆花,花草类,风味、装饰,花香、仪式感、清爽,否,否,花香、仪式感、轻盈、低负担,陪伴、满足、清爽,想满足、低落、想安抚,过敏风险,低糖、低咖啡因、过敏风险,社交、炎热天气、下午学习,冷色、高明度、植物元素、流动线条,产品调研 + 人工标注,适合渐变色饮品；主要用于视觉和轻香气标签
I055,荷叶,花草类,风味、装饰,植物香、清爽、低负担,否,否,清爽、低负担、苦感、轻盈,低刺激、清爽、放松,想放松、烦躁、想安抚,胃敏感、过敏风险,低糖、低咖啡因、胃敏感慎用、过敏风险,炎热天气、夜间休息、图书馆/自习,冷色、低饱和、植物元素、柔和线条,产品调研 + 人工标注,适合清淡花草饮；不写具体疗效等疗效
I056,百合,花草类,风味、装饰,花香、温热,否,否,花香、温热、低负担、仪式感,安抚、陪伴、放松,低落、想安抚、想放松,过敏风险,低糖、低咖啡因、过敏风险,夜间休息、寒冷天气,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合温热花草饮和轻甜饮；注意过敏提示
I057,陈皮,花草类,风味、装饰,果香、苦感、温热,否,否,果香、苦感、温热、仪式感,陪伴、低刺激、清爽,想放松、想安抚、疲惫,胃敏感、过敏风险,低糖、低咖啡因、胃敏感慎用、过敏风险,寒冷天气、下午学习、社交,暖色、低饱和、植物元素、柔和线条,产品调研 + 人工标注,适合茶基和花草饮；用量过多会偏苦
I058,咖啡,咖啡基类,基底、风味,咖啡香、苦感、浓郁,高,否,咖啡香、苦感、浓郁、温热,提神、专注、满足,困倦、疲惫、想提神,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,早晨、下午学习、通勤、图书馆/自习,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合作为咖啡饮品基底；需标注含咖啡因，夜间饮用需谨慎
I059,冷萃咖啡,咖啡基类,基底、风味,咖啡香、苦感、清爽,高,否,咖啡香、苦感、清爽、低负担,提神、专注、清爽,困倦、疲惫、想提神、烦躁,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,早晨、下午学习、炎热天气、通勤,冷色、低饱和、流动线条、植物元素,产品调研 + 人工标注,适合冷饮咖啡和轻乳咖啡；口味可做低糖版本
I060,浓缩咖啡,咖啡基类,基底、风味,咖啡香、苦感、浓郁,高,否,咖啡香、苦感、浓郁、过瘾感,提神、专注、满足,困倦、疲惫、想提神,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,早晨、下午学习、通勤,暖色、低饱和、强对比、圆润,产品调研 + 人工标注,适合作为拿铁、美式等咖啡基底；风味较强，建议控制用量
I061,低因咖啡,咖啡基类,基底、风味,咖啡香、苦感、低负担,低,否,咖啡香、苦感、低负担、温热,陪伴、满足、低刺激,想满足、想安抚、想放松,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、低刺激,下午学习、夜间休息、社交,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合需要咖啡风味但希望降低刺激感的饮品；仍建议标注含咖啡因
I062,可可粉,可可类,风味、基底,苦感、浓郁、温热,低,否,苦感、浓郁、温热、仪式感,满足、陪伴、安抚,想满足、低落、想安抚,咖啡因敏感、控糖,咖啡因敏感慎用、控糖慎用、夜间慎用,寒冷天气、夜间休息、社交,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合热可可、奶基饮品和甜品型饮品；需注意糖分搭配
I063,黑巧,可可类,风味、基底,苦感、甜感、浓郁,低,否,苦感、甜感、浓郁、过瘾感,满足、陪伴、释放,想满足、低落、想释放,咖啡因敏感、控糖,咖啡因敏感慎用、控糖慎用、夜间慎用,寒冷天气、社交、下午学习,暖色、低饱和、强对比、圆润,产品调研 + 人工标注,适合奶基、咖啡基和甜品型饮品；建议控制甜度和苦味比例
I064,气泡水,气泡基类,基底、口感,清爽、冰爽、低负担,否,否,清爽、冰爽、轻盈、过瘾感,清爽、释放、低刺激,烦躁、想释放、运动后,胃敏感,低糖、胃敏感慎用、低刺激,炎热天气、运动后、社交、通勤,高明度、冷色、流动线条、气泡元素,产品调研 + 人工标注,适合作为气泡饮基底；不建议与过强酸味叠加
I065,苏打水,气泡基类,基底、口感,清爽、冰爽、低负担,否,否,清爽、冰爽、轻盈、低负担,清爽、释放、低刺激,烦躁、想释放、运动后,胃敏感,低糖、胃敏感慎用、低刺激,炎热天气、运动后、社交、通勤,高明度、冷色、流动线条、气泡元素,产品调研 + 人工标注,适合果味气泡饮和低糖饮品；口感不宜过冲
I066,冰块,辅料类,辅助,冰爽、清爽、低负担,否,否,冰爽、清爽、轻盈、低负担,清爽、释放、低刺激,炎热、烦躁、运动后,胃敏感,低糖、胃敏感慎用、低刺激,炎热天气、运动后、通勤,高明度、冷色、流动线条,产品调研 + 人工标注,适合冷饮和气泡饮；可增强清爽感，但需注意冰量
I067,奶泡,奶基类,口感、装饰,奶香、顺滑、轻盈,否,是,奶香、顺滑、轻盈、仪式感,满足、陪伴、安抚,想满足、想安抚、低落,乳糖不耐、控糖,乳糖不耐慎用、控糖慎用、过敏风险,社交、下午学习、寒冷天气,暖色、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合咖啡、奶茶和热饮顶部口感层；建议提供无乳替代
I068,果粒,辅料类,口感、装饰,果香、甜感、过瘾感,否,否,果香、甜感、过瘾感、清爽,满足、陪伴、释放,想满足、想释放、低落,控糖、胃敏感,控糖慎用、胃敏感慎用,社交、炎热天气、下午学习,高明度、暖色、圆润、植物元素,产品调研 + 人工标注,适合果茶、酸奶饮和气泡饮；建议标注果粒口感与甜度
I069,蜂蜜,甜味辅料类,甜度、风味,甜感、温热、浓郁,否,否,甜感、温热、浓郁、仪式感,满足、安抚、陪伴,想满足、想安抚、低落,控糖、过敏风险,控糖慎用、过敏风险,寒冷天气、夜间休息、社交,暖色、低饱和、流动线条、柔和线条,产品调研 + 人工标注,适合作为自然甜味来源；需要控制用量并提示糖分
I070,代糖,甜味辅料类,甜度,甜感、低负担、轻盈,否,否,甜感、低负担、轻盈、清爽,满足、低刺激、陪伴,想满足、控糖、想放松,胃敏感,低糖、低刺激、胃敏感慎用,下午学习、图书馆/自习、通勤,高明度、低饱和、圆润、柔和线条,产品调研 + 人工标注,适合低糖饮品和可选甜度方案；需根据具体代糖类型做配料说明
I071,黑糖,甜味辅料类,甜度、风味,甜感、浓郁、温热,否,否,甜感、浓郁、温热、过瘾感,满足、陪伴、释放,想满足、低落、想释放,控糖,控糖慎用,寒冷天气、社交、下午学习,暖色、低饱和、强对比、圆润,产品调研 + 人工标注,适合奶茶和甜品型饮品；甜度较高，建议提供少糖选项
I072,美式咖啡液,咖啡基类,基底、风味,咖啡香、苦感、清爽,高,否,咖啡香、苦感、清爽、低负担,提神、专注、清爽,困倦、疲惫、想提神,咖啡因敏感、胃敏感,低糖、咖啡因敏感慎用、胃敏感慎用、夜间慎用,早晨、下午学习、通勤、图书馆/自习,暖色、低饱和、流动线条、圆润,产品调研 + 人工标注,适合作为美式、气泡咖啡等基底；风味清爽但仍需标注咖啡因等级
I073,咖啡冻,咖啡基类,口感、风味,咖啡香、苦感、顺滑,低,否,咖啡香、苦感、清爽、顺滑,清爽、满足、陪伴,想满足、烦躁、想放松,咖啡因敏感、控糖,咖啡因敏感慎用、控糖慎用、夜间慎用,炎热天气、社交、下午学习,暖色、低饱和、圆润、强对比,产品调研 + 人工标注,适合作为咖啡饮品或奶茶辅料；建议标注甜度与咖啡因等级
