recipe_id,饮品名称,饮品类型,成分组合,成分角色,用量等级,适配身体状态,适配心情状态,感官标签,体验标签,健康约束,适合场景,甜度建议,冷热建议,制作复杂度,推荐解释,视觉标签,可否机器制作
R011,菠萝绿茶,茶果类,绿茶、菠萝、代糖、冰块,绿茶:基底；菠萝:风味；代糖:甜度；冰块:辅料,绿茶:中；菠萝:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R012,荔枝茉莉绿茶,茶果类,茉莉绿茶、荔枝、代糖、冰块,茉莉绿茶:基底；荔枝:风味；代糖:甜度；冰块:辅料,茉莉绿茶:中；荔枝:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、花香、甜感,,低糖、过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R013,西瓜白茶,茶果类,白茶、西瓜、代糖、冰块,白茶:基底；西瓜:风味；代糖:甜度；冰块:辅料,白茶:中；西瓜:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R014,葡萄焙茶,茶果类,焙茶、葡萄、代糖,焙茶:基底；葡萄:风味；代糖:甜度,焙茶:中；葡萄:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、烦躁,清爽、茶香、果香、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,热饮,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为热饮，同时考虑低糖，咖啡因敏感慎用。,暖色、低饱和、柔和线条、冷色,是
R015,陈皮普洱茶,茶果类,普洱茶、陈皮、代糖,普洱茶:基底；陈皮:风味；代糖:甜度,普洱茶:中；陈皮:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、低落,清爽、茶香、果香、花香、甜感,,低糖、过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,热饮,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为热饮，同时考虑低糖，咖啡因敏感慎用。,暖色、低饱和、柔和线条、高明度,是
R016,柠檬铁观音,茶果类,铁观音、柠檬、代糖,铁观音:基底；柠檬:风味；代糖:甜度,铁观音:中；柠檬:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、烦躁,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,常温,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为常温，同时考虑低糖，咖啡因敏感慎用。,冷色、高明度、低饱和、圆润,是
R017,桃子红茶,茶果类,红茶、桃子、蜂蜜,红茶:基底；桃子:风味；蜂蜜:甜度,红茶:中；桃子:少；蜂蜜:少,困倦、疲劳、饱腹,低落、孤单、开心,清爽、茶香、果香、甜感、苦感,,过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,少糖,热饮,简单,适合困倦、疲劳或低落、孤单时选择，主要呈现清爽、茶香、果香，冷热建议为热饮，同时考虑咖啡因敏感慎用，过敏风险。,暖色、低饱和、柔和线条、圆润,是
R018,蓝莓伯爵红茶,茶果类,伯爵红茶、蓝莓、代糖、冰块,伯爵红茶:基底；蓝莓:风味；代糖:甜度；冰块:辅料,伯爵红茶:中；蓝莓:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R019,橙子白茶,茶果类,白茶、橙子、代糖,白茶:基底；橙子:风味；代糖:甜度,白茶:中；橙子:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、烦躁,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,常温,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为常温，同时考虑低糖，咖啡因敏感慎用。,暖色、高明度、低饱和、圆润,是
R020,草莓玄米茶,茶果类,玄米茶、草莓、代糖,玄米茶:基底；草莓:风味；代糖:甜度,玄米茶:中；草莓:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、烦躁,清爽、茶香、果香、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,热饮,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为热饮，同时考虑低糖，咖啡因敏感慎用。,暖色、低饱和、柔和线条、高明度,是
R021,葡萄乌龙茶,茶果类,乌龙茶、葡萄、代糖、冰块,乌龙茶:基底；葡萄:风味；代糖:甜度；冰块:辅料,乌龙茶:中；葡萄:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R022,苹果茉莉绿茶,茶果类,茉莉绿茶、苹果、代糖,茉莉绿茶:基底；苹果:风味；代糖:甜度,茉莉绿茶:中；苹果:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、烦躁,清爽、茶香、果香、花香、甜感,,低糖、过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,常温,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为常温，同时考虑低糖，咖啡因敏感慎用。,冷色、高明度、低饱和、圆润,是
R023,西瓜绿茶,茶果类,绿茶、西瓜、冰块、冰块,绿茶:基底；西瓜:风味；冰块:辅料；冰块:辅料,绿茶:中；西瓜:少；冰块:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、甜感、苦感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R024,百香果铁观音,茶果类,铁观音、百香果、代糖、冰块,铁观音:基底；百香果:风味；代糖:甜度；冰块:辅料,铁观音:中；百香果:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R025,菠萝白茶,茶果类,白茶、菠萝、代糖、冰块,白茶:基底；菠萝:风味；代糖:甜度；冰块:辅料,白茶:中；菠萝:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R026,橙子普洱茶,茶果类,普洱茶、橙子、蜂蜜,普洱茶:基底；橙子:风味；蜂蜜:甜度,普洱茶:中；橙子:少；蜂蜜:少,困倦、疲劳、饱腹,低落、孤单、开心,清爽、茶香、果香、酸感、甜感,,过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,少糖,热饮,简单,适合困倦、疲劳或低落、孤单时选择，主要呈现清爽、茶香、果香，冷热建议为热饮，同时考虑咖啡因敏感慎用，过敏风险。,暖色、低饱和、柔和线条、高明度,是
R027,柠檬轻发酵乌龙,茶果类,轻发酵乌龙、柠檬、代糖、冰块,轻发酵乌龙:基底；柠檬:风味；代糖:甜度；冰块:辅料,轻发酵乌龙:中；柠檬:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、花香、酸感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R028,苹果焙茶,茶果类,焙茶、苹果、代糖,焙茶:基底；苹果:风味；代糖:甜度,焙茶:中；苹果:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、烦躁,清爽、茶香、果香、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,热饮,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为热饮，同时考虑低糖，咖啡因敏感慎用。,暖色、低饱和、柔和线条、高明度,是
R029,荔枝伯爵红茶,茶果类,伯爵红茶、荔枝、代糖、冰块,伯爵红茶:基底；荔枝:风味；代糖:甜度；冰块:辅料,伯爵红茶:中；荔枝:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R030,芒果红茶,茶果类,红茶、芒果、代糖,红茶:基底；芒果:风味；代糖:甜度,红茶:中；芒果:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、烦躁,清爽、茶香、果香、甜感、苦感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,常温,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为常温，同时考虑低糖，咖啡因敏感慎用。,暖色、高明度、低饱和、圆润,是
R031,陈皮玄米茶,茶果类,玄米茶、陈皮、代糖,玄米茶:基底；陈皮:风味；代糖:甜度,玄米茶:中；陈皮:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、低落,清爽、茶香、果香、花香、甜感,,低糖、过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,热饮,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为热饮，同时考虑低糖，咖啡因敏感慎用。,暖色、低饱和、柔和线条、高明度,是
R032,葡萄柚白茶,茶果类,白茶、葡萄柚、代糖,白茶:基底；葡萄柚:风味；代糖:甜度,白茶:中；葡萄柚:少；代糖:少,困倦、疲劳、饱腹,紧张、平静、烦躁,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,常温,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、果香，冷热建议为常温，同时考虑低糖，咖啡因敏感慎用。,暖色、高明度、低饱和、圆润,是
R033,草莓茉莉绿茶,茶果类,茉莉绿茶、草莓、代糖、冰块,茉莉绿茶:基底；草莓:风味；代糖:甜度；冰块:辅料,茉莉绿茶:中；草莓:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、花香、甜感,,低糖、过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R034,青柠乌龙茶,茶果类,乌龙茶、青柠、代糖、冰块,乌龙茶:基底；青柠:风味；代糖:甜度；冰块:辅料,乌龙茶:中；青柠:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R035,蓝莓绿茶,茶果类,绿茶、蓝莓、代糖、冰块,绿茶:基底；蓝莓:风味；代糖:甜度；冰块:辅料,绿茶:中；蓝莓:少；代糖:少；冰块:少,困倦、疲劳、饱腹,无聊、兴奋、开心,清爽、茶香、果香、酸感、甜感,,低糖,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,冷饮,简单,适合困倦、疲劳或无聊、兴奋时选择，主要呈现清爽、茶香、果香，冷热建议为冷饮，同时考虑低糖，咖啡因敏感慎用。,高明度、植物元素、冷色、流动线条,是
R036,苹果红茶,茶果类,红茶、苹果、蜂蜜,红茶:基底；苹果:风味；蜂蜜:甜度,红茶:中；苹果:少；蜂蜜:少,困倦、疲劳、饱腹,低落、孤单、开心,清爽、茶香、果香、甜感、苦感,,过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,少糖,热饮,简单,适合困倦、疲劳或低落、孤单时选择，主要呈现清爽、茶香、果香，冷热建议为热饮，同时考虑咖啡因敏感慎用，过敏风险。,暖色、低饱和、柔和线条、高明度,是
R037,玫瑰桂花水,花草类,玫瑰、桂花、蜂蜜,基底:水；玫瑰:风味；桂花:风味；蜂蜜:甜度,玫瑰:中；桂花:少；蜂蜜:少,感觉有点冷、疲劳,低落、孤单、开心,清爽、花香、甜感,,过敏风险,家/宿舍、办公室/公司,少糖,热饮,简单,适合感觉有点冷、疲劳或低落、孤单时选择，主要呈现清爽、花香、甜感，冷热建议为热饮，同时考虑过敏风险。,暖色、低饱和、柔和线条、高明度,是
R038,菊花柠檬水,花草类,菊花、柠檬草、代糖,基底:水；菊花:风味；柠檬草:风味；代糖:甜度,菊花:中；柠檬草:少；代糖:少,感觉有点冷、疲劳,紧张、平静、低落,清爽、果香、花香、甜感,,低糖、过敏风险,家/宿舍、办公室/公司,低糖,热饮,简单,适合感觉有点冷、疲劳或紧张、平静时选择，主要呈现清爽、果香、花香，冷热建议为热饮，同时考虑低糖，过敏风险。,暖色、低饱和、柔和线条、冷色,是
R039,茉莉花白茶,花草类,茉莉花、白茶、代糖,茉莉花:风味；白茶:基底；代糖:甜度,茉莉花:中；白茶:中；代糖:少,困倦、疲劳、饱腹,紧张、平静、低落,清爽、茶香、花香、甜感,,低糖、过敏风险,图书馆/自习室、学校/教学楼、办公室/公司、餐厅/食堂,低糖,热饮,简单,适合困倦、疲劳或紧张、平静时选择，主要呈现清爽、茶香、花香，冷热建议为热饮，同时考虑低糖，咖啡因敏感慎用。,暖色、低饱和、柔和线条、高明度,是
R040,薰衣草洋甘菊水,花草类,薰衣草、洋甘菊、蜂蜜,基底:水；薰衣草:风味；洋甘菊:风味；蜂蜜:甜度,薰衣草:中；洋甘菊:少；蜂蜜:少,感觉有点冷、疲劳,低落、孤单、开心,清爽、花香、甜感,,过敏风险,家/宿舍、办公室/公司,少糖,热饮,简单,适合感觉有点冷、疲劳或低落、孤单时选择，主要呈现清爽、花香、甜感，冷热建议为热饮，同时考虑过敏风险。,暖色、低饱和、柔和线条、冷色,是
R041,洛神花百香果汁,花草类,洛神花、百香果、代糖、冰块,基底:水；洛神花:风味；百香果:风味；代糖:甜度；冰块:辅料,洛神花:中；百香果:少；代糖:少；冰块:少,饱腹、口渴、感觉有点热,无聊、兴奋、开心,清爽、果香、花香、酸感、甜感,,低糖、过敏风险,餐厅/食堂、公园/户外、健身房/运动场、商场/商业街,低糖,冷饮,简单,适合饱腹、口渴或无聊、兴奋时选择，主要呈现清爽、果香、花香，冷热建议为冷饮，同时考虑低糖，过敏风险。,高明度、植物元素、冷色、流动线条,是
R042,薄荷叶青柠,花草类,薄荷叶、青柠、苏打水、冰块,薄荷叶:风味；青柠:风味；苏打水:基底；冰块:辅料,薄荷叶:中；青柠:少；苏打水:中；冰块:少,饱腹、口渴、感觉有点热,无聊、兴奋、开心,清爽、果香、花香、酸感、气泡感,,低糖、过敏风险,餐厅/食堂、公园/户外、健身房/运动场、商场/商业街,低糖,冷饮,简单,适合饱腹、口渴或无聊、兴奋时选择，主要呈现清爽、果香、花香，冷热建议为冷饮，同时考虑低糖，过敏风险。,高明度、植物元素、气泡元素、冷色,是
R043,金银花菊花,花草类,金银花、菊花、代糖,基底:水；金银花:风味；菊花:风味；代糖:甜度,金银花:中；菊花:少；代糖:少,良好、口渴,无聊、平静、开心,清爽、花香、甜感,,低糖、过敏风险,地铁/公交/车站、家/宿舍,低糖,常温,简单,适合良好、口渴或无聊、平静时选择，主要呈现清爽、花香、甜感，冷热建议为常温，同时考虑低糖，过敏风险。,冷色、高明度、低饱和、圆润,是
R044,蝶豆花柠檬,花草类,蝶豆花、柠檬、代糖、冰块,基底:水；蝶豆花:风味；柠檬:风味；代糖:甜度；冰块:辅料,蝶豆花:中；柠檬:少；代糖:少；冰块:少,饱腹、口渴、感觉有点热,无聊、兴奋、开心,清爽、果香、花香、酸感、甜感,,低糖、过敏风险,餐厅/食堂、公园/户外、健身房/运动场、商场/商业街,低糖,冷饮,简单,适合饱腹、口渴或无聊、兴奋时选择，主要呈现清爽、果香、花香，冷热建议为冷饮，同时考虑低糖，过敏风险。,高明度、植物元素、冷色、流动线条,是
R045,荷叶陈皮水,花草类,荷叶、陈皮、代糖,基底:水；荷叶:风味；陈皮:风味；代糖:甜度,荷叶:中；陈皮:少；代糖:少,感觉有点冷、疲劳,紧张、平静、低落,清爽、果香、花香、甜感、苦感,,低糖、过敏风险,家/宿舍、办公室/公司,低糖,热饮,简单,适合感觉有点冷、疲劳或紧张、平静时选择，主要呈现清爽、果香、花香，冷热建议为热饮，同时考虑低糖，过敏风险。,暖色、低饱和、柔和线条、冷色,是
R046,百合桂花水,花草类,百合、桂花、蜂蜜,基底:水；百合:风味；桂花:风味；蜂蜜:甜度,百合:中；桂花:少；蜂蜜:少,感觉有点冷、疲劳,低落、孤单、开心,清爽、花香、甜感,,过敏风险,家/宿舍、办公室/公司,少糖,热饮,简单,适合感觉有点冷、疲劳或低落、孤单时选择，主要呈现清爽、花香、甜感，冷热建议为热饮，同时考虑过敏风险。,暖色、低饱和、柔和线条、高明度,是
R047,迷迭香葡萄柚,花草类,迷迭香、葡萄柚、代糖、冰块,基底:水；迷迭香:风味；葡萄柚:风味；代糖:甜度；冰块:辅料,迷迭香:中；葡萄柚:少；代糖:少；冰块:少,饱腹、口渴、感觉有点热,无聊、兴奋、开心,清爽、果香、花香、酸感、甜感,,低糖、过敏风险,餐厅/食堂、公园/户外、健身房/运动场、商场/商业街,低糖,冷饮,简单,适合饱腹、口渴或无聊、兴奋时选择，主要呈现清爽、果香、花香，冷热建议为冷饮，同时考虑低糖，过敏风险。,高明度、植物元素、冷色、流动线条,是
R048,玫瑰草莓汁,花草类,玫瑰、草莓、代糖、冰块,基底:水；玫瑰:风味；草莓:风味；代糖:甜度；冰块:辅料,玫瑰:中；草莓:少；代糖:少；冰块:少,口渴、感觉有点热、良好,无聊、兴奋、开心,清爽、果香、花香、甜感,,低糖、过敏风险,公园/户外、健身房/运动场、商场/商业街,低糖,冷饮,简单,适合口渴、感觉有点热或无聊、兴奋时选择，主要呈现清爽、果香、花香，冷热建议为冷饮，同时考虑低糖，过敏风险。,高明度、植物元素、冷色、流动线条,是
R049,洋甘菊苹果汁,花草类,洋甘菊、苹果、蜂蜜,基底:水；洋甘菊:风味；苹果:风味；蜂蜜:甜度,洋甘菊:中；苹果:少；蜂蜜:少,感觉有点冷、疲劳、口渴,低落、孤单、开心,清爽、果香、花香、甜感,,低刺激、过敏风险,家/宿舍、办公室/公司,少糖,热饮,简单,适合感觉有点冷、疲劳或低落、孤单时选择，主要呈现清爽、果香、花香，冷热建议为热饮，同时考虑低刺激，过敏风险。,暖色、低饱和、柔和线条、高明度,是
R050,柠檬草橙子汁,花草类,柠檬草、橙子、代糖,基底:水；柠檬草:风味；橙子:风味；代糖:甜度,柠檬草:中；橙子:少；代糖:少,饱腹、良好、口渴,无聊、平静、开心,清爽、果香、花香、酸感、甜感,,低糖、过敏风险,餐厅/食堂、地铁/公交/车站、家/宿舍,低糖,常温,简单,适合饱腹、良好或无聊、平静时选择，主要呈现清爽、果香、花香，冷热建议为常温，同时考虑低糖，过敏风险。,暖色、冷色、高明度、低饱和,是
R051,薄荷叶西瓜汁,花草类,薄荷叶、西瓜、代糖、冰块,基底:水；薄荷叶:风味；西瓜:风味；代糖:甜度；冰块:辅料,薄荷叶:中；西瓜:少；代糖:少；冰块:少,口渴、感觉有点热、良好,无聊、兴奋、开心,清爽、果香、花香、甜感,,低糖、过敏风险,公园/户外、健身房/运动场、商场/商业街,低糖,冷饮,简单,适合口渴、感觉有点热或无聊、兴奋时选择，主要呈现清爽、果香、花香，冷热建议为冷饮，同时考虑低糖，过敏风险。,高明度、植物元素、冷色、流动线条,是
