标签分类,tag_id,标签名,含义,适用表/字段,推荐使用建议,同义词/避免写法
场景环境标签,CT004,图书馆/自习,学习专注、低打扰的空间场景。,用户输入表-场景/时间/环境；饮品方案表-适配场景；推荐记录表-场景适配分,适合专注、低气味、低负担、便携方向。,
场景环境标签,CT005,通勤,路上、移动、短暂停留的场景。,用户输入表-场景/时间/环境；饮品方案表-适配场景；推荐记录表-场景适配分,适合便携、清爽、低负担方向。,
场景环境标签,CT006,社交,朋友聚会、聊天或共同体验场景。,用户输入表-场景/时间/环境；饮品方案表-适配场景；推荐记录表-场景适配分,适合仪式感、视觉突出、分享感方向。,
场景环境标签,CT007,运动后,运动、出汗、需要轻补充的场景。,用户输入表-场景/时间/环境；饮品方案表-适配场景；推荐记录表-场景适配分,适合清爽、冰爽、轻补充、低糖方向。,与 BS008 可同时出现，但一个描述身体状态，一个描述场景。
场景环境标签,CT008,炎热天气,天气炎热，需要清凉、补水或轻盈体验。,用户输入表-场景/时间/环境；饮品方案表-适配场景；推荐记录表-场景适配分,适合冰爽、果香、气泡感、高明度视觉。,
场景环境标签,CT009,寒冷天气,天气较冷，需要温热、稳定或陪伴感。,用户输入表-场景/时间/环境；饮品方案表-适配场景；推荐记录表-场景适配分,适合温热、奶香、暖色、圆润视觉。,
场景环境标签,CT010,考试季,学习压力集中、任务密集的阶段性场景。,用户输入表-场景/时间/环境；饮品方案表-适配场景；推荐记录表-场景适配分,适合专注、提神、低刺激、安抚方向。,避免写成缓解压力具体疗效或医疗化表达。
感官风味标签,SE001,清爽,轻盈、干净、不厚重的整体感受。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,常与果香、冰爽、低负担组合。,
感官风味标签,SE002,温热,热饮或暖感明显的温度体验。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,常与安抚、陪伴、寒冷天气组合。,
感官风味标签,SE003,冰爽,冷饮或冰感明显的温度体验。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,常与清爽、释放、炎热天气组合。,
感官风味标签,SE004,奶香,牛奶、燕麦奶、奶泡或奶基带来的香气。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,常与顺滑、满足、安抚组合。,乳糖不耐用户需替换或过滤。
感官风味标签,SE005,茶香,茶基底带来的清香、焙香或茶感。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,可用于提神、专注、低负担方向。,
感官风味标签,SE006,果香,水果带来的香气和明亮感。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,可用于清爽、释放、高明度视觉。,
感官风味标签,SE007,花香,桂花、玫瑰、菊花等花类香气。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,可用于放松、安抚、柔和视觉。,避免写成功效花草茶。
感官风味标签,SE008,咖啡香,咖啡、冷萃或可可相关的烘焙香气。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,可用于提神、专注、满足方向。,需结合咖啡因约束。
感官风味标签,SE009,酸感,柠檬、青柠、莓果等带来的酸味。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,可用于清爽、释放、开胃感表达。,胃敏感用户慎用，避免写成具体疗效或医疗化表达。
感官风味标签,SE010,甜感,蜂蜜、糖浆、水果等带来的甜味。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,可用于满足、奖励感、陪伴感。,控糖用户需降低甜度。
感官风味标签,SE011,苦感,咖啡、茶、可可等带来的轻微苦味。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,可用于成人感、提神、专注方向。,避免过强苦味影响接受度。
感官风味标签,SE012,顺滑,奶基、燕麦奶、奶泡等带来的柔顺口感。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,常与奶香、安抚、满足组合。,
感官风味标签,SE013,浓郁,口感厚重、香气饱满、层次强。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,适合满足、仪式感方向。,低负担场景慎用。
感官风味标签,SE014,轻盈,口感轻、不腻、适合日常饮用。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,适合低负担、清爽、通勤方向。,
感官风味标签,SE015,气泡感,碳酸、起泡、颗粒跳跃的刺激口感。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,适合释放、过瘾、炎热天气。,胃敏感用户慎用。
感官风味标签,SE016,低负担,不甜腻、不厚重、不刺激的轻量体验。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,适合控糖、夜间、通勤、学习场景。,替代具体疗效或医疗化表达、轻体等功效化词。
感官风味标签,SE017,仪式感,有香气、层次、视觉或场景氛围。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,适合社交、奖励、视觉生成方向。,
感官风味标签,SE018,过瘾感,爽快、刺激、满足或转换心情的体验。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,适合释放、气泡、强对比视觉。,
感官风味标签,SE019,植物香,草本、叶片或植物类原料带来的自然清香。,饮品成分表-感官标签；饮品方案表-感官标签；推荐记录表-风味匹配原因,适合清爽、放松、低饱和视觉。,可与花香区分：植物香偏叶片/草本，花香偏花类。
体验需求标签,EX001,提神,帮助用户获得更清醒、更有行动感的体验。,用户输入表-体验需求；饮品方案表-体验标签；推荐记录表-推荐理由,结合茶香、咖啡香、早晨、下午学习等标签使用。,避免写成醒脑、具体疗效或医疗化表达疲劳。
体验需求标签,EX002,放松,帮助用户缓和节奏、降低紧绷感。,用户输入表-体验需求；饮品方案表-体验标签；推荐记录表-推荐理由,结合花香、温热、低饱和视觉。,避免写成具体疗效或医疗化表达、具体疗效或医疗化表达。
体验需求标签,EX003,安抚,提供温暖、稳定、被接住的情绪体验。,用户输入表-体验需求；饮品方案表-体验标签；推荐记录表-推荐理由,结合奶香、温热、圆润视觉。,替代具体疗效或医疗化表达、具体疗效或医疗化表达。
体验需求标签,EX004,满足,提供奖励感、愉悦感或浓郁口感体验。,用户输入表-体验需求；饮品方案表-体验标签；推荐记录表-推荐理由,结合甜感、奶香、浓郁、仪式感。,控糖用户需降低甜度。
体验需求标签,EX005,清爽,提供轻盈、明亮、清新的体验。,用户输入表-体验需求；饮品方案表-体验标签；推荐记录表-推荐理由,结合果香、冰爽、气泡感、炎热天气。,
体验需求标签,EX006,释放,提供爽快、转换心情、过瘾的体验。,用户输入表-体验需求；饮品方案表-体验标签；推荐记录表-推荐理由,结合气泡感、酸感、强对比视觉。,避免写成情绪具体疗效或医疗化表达。
体验需求标签,EX007,专注,适合学习、工作、自习等需要稳定注意力的场景。,用户输入表-体验需求；饮品方案表-体验标签；推荐记录表-推荐理由,结合低负担、茶香、低甜、下午学习。,避免写成提升学习成绩。
体验需求标签,EX008,陪伴,适合低落、独处或想获得温暖回应的状态。,用户输入表-体验需求；饮品方案表-体验标签；推荐记录表-推荐理由,结合安抚、温热、奶香、柔和视觉。,
体验需求标签,EX009,低刺激,不过强、不太酸、不太冰、不高咖啡因的体验。,用户输入表-体验需求；饮品方案表-体验标签；推荐记录表-推荐理由,适合胃敏感、夜间、咖啡因敏感场景。,与健康约束 HC004 同名但用途不同，需靠 tag_id 区分。
体验需求标签,EX010,轻补充,运动后或疲惫时的轻负担补水/补充体验。,用户输入表-体验需求；饮品方案表-体验标签；推荐记录表-推荐理由,结合运动后、清爽、低糖、轻盈。,替代补能量、恢复体力等功效化词。
健康约束标签,HC001,低糖,糖分控制或少糖需求。,用户输入表-饮食限制；饮品成分表-约束标签；饮品方案表-健康约束；规则过滤模块,优先推荐少糖、无额外糖、天然甜感方案。,避免写成具体疗效或医疗化表达。
健康约束标签,HC002,低咖啡因,不使用或减少咖啡因。,用户输入表-饮食限制；饮品成分表-约束标签；饮品方案表-健康约束；规则过滤模块,夜间、咖啡因敏感用户优先使用。,
健康约束标签,HC003,无乳,不含普通牛奶或可替换为植物基。,用户输入表-饮食限制；饮品成分表-约束标签；饮品方案表-健康约束；规则过滤模块,乳糖不耐用户优先使用。,
健康约束标签,HC004,低刺激,减少酸、冰、气泡、咖啡因等刺激因素。,用户输入表-饮食限制；饮品成分表-约束标签；饮品方案表-健康约束；规则过滤模块,胃敏感、夜间、紧张场景优先使用。,与 EX009 区分：这里是硬约束。
健康约束标签,HC005,胃敏感慎用,胃敏感用户需谨慎选择的饮品或原料。,用户输入表-饮食限制；饮品成分表-约束标签；饮品方案表-健康约束；规则过滤模块,用于过滤强酸、强气泡、过冰方案。,避免写成胃病具体疗效或医疗化表达。
健康约束标签,HC006,夜间慎用,晚上不建议饮用或需降低刺激的方案。,用户输入表-饮食限制；饮品成分表-约束标签；饮品方案表-健康约束；规则过滤模块,用于过滤高咖啡因、高糖、强刺激饮品。,避免写成具体疗效或医疗化表达。
健康约束标签,HC007,咖啡因敏感慎用,咖啡因敏感用户需避免或减少。,用户输入表-饮食限制；饮品成分表-约束标签；饮品方案表-健康约束；规则过滤模块,用于过滤咖啡、浓茶、能量感饮品。,
健康约束标签,HC008,乳糖不耐慎用,含普通乳制品饮品需替换或提示。,用户输入表-饮食限制；饮品成分表-约束标签；饮品方案表-健康约束；规则过滤模块,用于过滤牛奶、奶盖、奶油类方案。,
健康约束标签,HC009,控糖慎用,含糖量偏高或甜味主体较多时提示。,用户输入表-饮食限制；饮品成分表-约束标签；饮品方案表-健康约束；规则过滤模块,用于过滤高甜、糖浆、奶油、果酱类方案。,
健康约束标签,HC010,过敏风险,坚果、乳制品、花草或特定水果可能带来过敏风险。,用户输入表-饮食限制；饮品成分表-约束标签；饮品方案表-健康约束；规则过滤模块,用于提示与人工校验。,避免写成具体疗效或医疗化表达风险诊断。
视觉生成标签,VI001,暖色,橙、棕、米白、暖黄等温暖色系。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合安抚、陪伴、温热、寒冷天气。,后续可由设计侧补 HEX 色卡。
视觉生成标签,VI002,冷色,蓝、绿、青等清凉色系。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合清爽、冰爽、炎热天气。,后续可由设计侧补 HEX 色卡。
视觉生成标签,VI003,高明度,明亮、清透、轻快的视觉感。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合果香、清爽、早晨、运动后。,
视觉生成标签,VI004,低饱和,柔和、不刺激、低冲突的视觉感。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合放松、安抚、夜间休息。,
视觉生成标签,VI005,圆润,圆形、软边界、温和的图形语言。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合奶香、陪伴、安抚。,
视觉生成标签,VI006,流动线条,水纹、流线、动态但不尖锐的线条。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合清爽、运动后、释放、通勤。,
视觉生成标签,VI007,气泡元素,泡泡、颗粒、跳跃感图案。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合气泡饮、冰爽、释放。,
视觉生成标签,VI008,植物元素,花、叶、果实、草本等自然元素。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合花香、果香、植物香、低负担。,
视觉生成标签,VI009,地域元素,骑楼、木棉花、地方建筑或地域纹样。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合地区文化、城市记忆、限定款视觉。,需由设计侧限定元素库，避免生图漂移。
视觉生成标签,VI010,运动元素,篮球、球场、动感线条等运动相关图形。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合运动后、释放、年轻化场景。,
视觉生成标签,VI011,柔和线条,慢、缓、安静、低攻击性的线条。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合放松、安抚、夜间休息。,
视觉生成标签,VI012,强对比,高反差、动感、刺激、醒目的视觉关系。,视觉标签映射表；饮品方案表-视觉标签；杯身/包装/小程序卡片生成,适合释放、过瘾感、社交展示。,注意与品牌统一性平衡。
