session_id,user_id,地点/场景,身体状态标签,心情状态标签,口味偏好,冷热偏好,饮食限制,推荐方向
S028,U028,图书馆/自习室,良好,紧张,茶香,热饮,低糖、咖啡因敏感慎用,低糖热饮茶香型
S029,U029,商场/商业街,良好,平静,咖啡香、苦感,热饮,低糖,低糖热饮咖啡香苦感型
S030,U030,家/宿舍,良好、疲劳,低落,花香,热饮,,热饮花香型
S031,U031,家/宿舍,疲劳,低落,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型
S032,U032,家/宿舍,困倦、疲劳,平静,清爽、果香,冷饮,,冷饮清爽果香型
S033,U033,图书馆/自习室,困倦,平静,酸感、甜感,冷饮,低糖、咖啡因敏感慎用,低糖冷饮酸感甜感型
S034,U034,健身房/运动场,疲劳、口渴,平静,清爽,冷饮,低糖,低糖冷饮清爽型
S035,U035,家/宿舍,疲劳,平静,清爽,热饮,低糖,低糖热饮清爽型
S036,U036,家/宿舍,疲劳,烦躁,清爽,热饮,低刺激,低刺激热饮清爽型
S037,U037,商场/商业街,良好,开心,果香、花香、甜感,常温,低刺激,低刺激常温果香花香型
S038,U038,家/宿舍,良好、疲劳,烦躁,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S039,U039,图书馆/自习室,良好,平静,奶香、茶香,冷饮,低糖,低糖冷饮茶香奶香型
S040,U040,图书馆/自习室,良好,低落,清爽,热饮,,热饮清爽型
S041,U041,图书馆/自习室,困倦,烦躁,茶香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮茶香型
S042,U042,学校/教学楼、图书馆/自习室,疲劳,紧张,茶香,常温,低糖、咖啡因敏感慎用,低糖常温茶香型
S043,U043,学校/教学楼、图书馆/自习室,良好,紧张,清爽、果香、花香,常温,,常温清爽果香型
S044,U044,家/宿舍、商场/商业街,疲劳,低落,奶香、花香,热饮,低糖、乳糖不耐慎用,低糖热饮奶香花香型
S045,U045,地铁/公交/车站,良好,烦躁,茶香、花香,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮茶香花香型
S046,U046,家/宿舍,疲劳,平静,甜感,常温,低糖、乳糖不耐慎用,低糖常温甜感型
S047,U047,家/宿舍、图书馆/自习室,疲劳,紧张,清爽、果香、花香,常温,低糖、咖啡因敏感慎用,低糖常温清爽果香型
S048,U048,图书馆/自习室,良好,烦躁,清爽、酸感、甜感,热饮,低刺激,低刺激热饮清爽酸感型
S049,U049,家/宿舍、健身房/运动场,疲劳、口渴,开心,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型
S050,U050,家/宿舍,良好、疲劳,低落,奶香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮奶香型
S051,U051,地铁/公交/车站、公园/户外,困倦、感觉有点冷,紧张,咖啡香、苦感、清爽,热饮,低糖,低糖热饮清爽咖啡香型
S052,U052,公园/户外,感觉有点冷,平静,花香、清爽,热饮,低刺激,低刺激热饮清爽花香型
S053,U053,学校/教学楼、地铁/公交/车站,困倦,烦躁,茶香、清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽茶香型
S054,U054,图书馆/自习室、公园/户外,疲劳、感觉有点热,烦躁,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型
S055,U055,健身房/运动场、地铁/公交/车站,疲劳、口渴,烦躁,酸感、气泡感,冷饮,低糖、咖啡因敏感慎用,低糖冷饮气泡感酸感型
S056,U056,商场/商业街,疲劳,烦躁,奶香、甜感,冷饮,,冷饮奶香甜感型
S057,U057,家/宿舍、公园/户外,困倦、感觉有点冷,平静,茶香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽茶香型
S058,U058,家/宿舍、学校/教学楼、图书馆/自习室,疲劳、困倦,平静,茶香、清爽,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽茶香型
S059,U059,商场/商业街,良好,开心,果香、酸感、清爽,热饮,低糖、低刺激,低糖热饮清爽果香型
S060,U060,地铁/公交/车站,良好,开心,花香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮花香型
S061,U061,学校/教学楼,良好,紧张,清爽、果香,热饮,低糖、低刺激,低糖热饮清爽果香型
S062,U062,学校/教学楼、图书馆/自习室,良好,开心,茶香、苦感、清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽茶香型
S063,U063,家/宿舍,疲劳,低落,茶香、清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽茶香型
S064,U064,地铁/公交/车站,困倦,烦躁,果香、花香、清爽,冷饮,低糖,低糖冷饮清爽果香型
S065,U065,地铁/公交/车站、公园/户外,困倦、感觉有点热,紧张,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型
S066,U066,图书馆/自习室,良好,紧张,清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽型
S067,U067,学校/教学楼、图书馆/自习室,困倦,紧张,清爽、果香、酸感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽果香型
S068,U068,商场/商业街、公园/户外,感觉有点热,平静,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型
S069,U069,健身房/运动场、地铁/公交/车站,疲劳、口渴,开心,清爽、果香,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽果香型
S070,U070,家/宿舍、商场/商业街、公园/户外,感觉有点热、疲劳,平静,奶香、甜感,热饮,低刺激、乳糖不耐慎用,低刺激热饮奶香甜感型
S071,U071,家/宿舍,疲劳,低落,花香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽花香型
S072,U072,家/宿舍、学校/教学楼,困倦、疲劳,开心,茶香、清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽茶香型
S073,U073,家/宿舍、图书馆/自习室,疲劳,平静,清爽,冷饮,低糖,低糖冷饮清爽型
S074,U074,家/宿舍、地铁/公交/车站,疲劳,平静,清爽、茶香,冷饮,低糖、咖啡因敏感慎用、乳糖不耐慎用,低糖冷饮清爽茶香型
S075,U075,家/宿舍,疲劳,开心,清爽,热饮,低刺激,低刺激热饮清爽型
S076,U076,家/宿舍、学校/教学楼、图书馆/自习室,疲劳,紧张,花香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽花香型
S077,U077,商场/商业街,良好,平静,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S078,U078,家/宿舍、图书馆/自习室,疲劳,紧张,果香、花香、清爽,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽果香型
S079,U079,地铁/公交/车站、公园/户外,疲劳、困倦,紧张,清爽、茶香,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽茶香型
S080,U080,地铁/公交/车站、公园/户外,感觉有点冷,紧张,奶香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽奶香型
S081,U081,学校/教学楼,困倦,紧张,清爽、果香、酸感,热饮,低糖,低糖热饮清爽果香型
S082,U082,商场/商业街、公园/户外,疲劳、感觉有点热,开心,清爽、茶香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽茶香型
S083,U083,健身房/运动场、商场/商业街,疲劳、口渴,烦躁,清爽、果香,冷饮,,冷饮清爽果香型
S084,U084,商场/商业街、地铁/公交/车站,良好,平静,果香、气泡感,热饮,低刺激、乳糖不耐慎用,低刺激热饮果香气泡感型
S085,U085,家/宿舍、公园/户外,困倦、感觉有点冷,低落,花香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽花香型
S086,U086,家/宿舍、学校/教学楼、图书馆/自习室,困倦、疲劳,烦躁,茶香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽茶香型
S087,U087,公园/户外,感觉有点热,平静,清爽、茶香,热饮,低糖、低刺激,低糖热饮清爽茶香型
S088,U088,家/宿舍,疲劳,开心,果香、甜感,热饮,低刺激、咖啡因敏感慎用、乳糖不耐慎用,低刺激热饮果香甜感型
S089,U089,商场/商业街,疲劳,烦躁,清爽,热饮,低刺激,低刺激热饮清爽型
S090,U090,学校/教学楼、图书馆/自习室,困倦,烦躁,花香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽花香型
S091,U091,地铁/公交/车站,良好,平静,花香,热饮,低刺激,低刺激热饮花香型
S092,U092,健身房/运动场,困倦、口渴,紧张,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型
S093,U093,地铁/公交/车站、公园/户外,疲劳、困倦,紧张,茶香、苦感,冷饮,低糖,低糖冷饮茶香苦感型
S094,U094,图书馆/自习室,良好,平静,茶香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽茶香型
S095,U095,学校/教学楼、地铁/公交/车站,困倦,烦躁,清爽、茶香、苦感,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽茶香型
S096,U096,地铁/公交/车站、公园/户外,感觉有点热,开心,清爽、果香、酸感,冷饮,低糖,低糖冷饮清爽果香型
S097,U097,健身房/运动场、商场/商业街,疲劳、口渴,烦躁,清爽、果香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽果香型
S098,U098,家/宿舍、商场/商业街、公园/户外,疲劳、感觉有点热,开心,奶香、甜感,冷饮,咖啡因敏感慎用、乳糖不耐慎用,咖啡因敏感慎用冷饮奶香甜感型
S099,U099,家/宿舍、图书馆/自习室,困倦、疲劳,平静,花香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽花香型
S100,U100,公园/户外,困倦、感觉有点热,烦躁,清爽、茶香,热饮,低糖、低刺激,低糖热饮清爽茶香型
S101,U101,家/宿舍,疲劳,开心,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型
S102,U102,图书馆/自习室,良好,烦躁,花香,热饮,低糖、低刺激,低糖热饮花香型
S103,U103,家/宿舍、图书馆/自习室,疲劳,紧张,清爽、茶香,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽茶香型
S104,U104,图书馆/自习室,良好,平静,花香,热饮,低糖,低糖热饮花香型
S105,U105,图书馆/自习室,良好,开心,果香、气泡感,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮果香气泡感型
S106,U106,地铁/公交/车站、公园/户外,困倦、感觉有点冷,烦躁,清爽、果香、酸感,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽果香型
S107,U107,学校/教学楼,良好,平静,花香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽花香型
S108,U108,学校/教学楼、地铁/公交/车站,疲劳、困倦,烦躁,清爽、茶香、苦感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽茶香型
S109,U109,图书馆/自习室、公园/户外,疲劳、感觉有点热,烦躁,清爽、果香、酸感,冷饮,,冷饮清爽果香型
S110,U110,健身房/运动场、地铁/公交/车站,疲劳、口渴,平静,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型
S111,U111,家/宿舍、商场/商业街,疲劳,开心,果香、甜感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮果香甜感型
S112,U112,家/宿舍,疲劳,低落,茶香、花香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽茶香型
S113,U113,家/宿舍、学校/教学楼,困倦、疲劳,开心,清爽、果香、酸感,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽果香型
S114,U114,家/宿舍,疲劳,烦躁,果香、酸感、清爽,冷饮,低糖,低糖冷饮清爽果香型
S115,U115,商场/商业街,良好,平静,清爽,热饮,低刺激、乳糖不耐慎用,低刺激热饮清爽型
S116,U116,家/宿舍,疲劳,平静,清爽,热饮,低糖、低刺激,低糖热饮清爽型
S117,U117,地铁/公交/车站,困倦,烦躁,茶香、苦感、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽茶香型
S118,U118,公园/户外,疲劳、感觉有点冷,烦躁,清爽,热饮,低糖,低糖热饮清爽型
S119,U119,公园/户外,疲劳、感觉有点热,开心,果香、花香、清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽果香型
S120,U120,地铁/公交/车站,困倦,开心,茶香、苦感,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮茶香苦感型
S121,U121,学校/教学楼,良好,紧张,茶香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽茶香型
S122,U122,图书馆/自习室,疲劳、困倦,烦躁,咖啡香、苦感,热饮,低糖,低糖热饮咖啡香苦感型
S123,U123,公园/户外,疲劳、感觉有点热,平静,清爽、茶香,冷饮,,冷饮清爽茶香型
S124,U124,健身房/运动场、地铁/公交/车站,疲劳、口渴,烦躁,酸感、气泡感,冷饮,低糖,低糖冷饮气泡感酸感型
S125,U125,家/宿舍、商场/商业街,疲劳,开心,果香、甜感,冷饮,低糖、乳糖不耐慎用,低糖冷饮果香甜感型
S126,U126,家/宿舍、图书馆/自习室,困倦、疲劳,平静,花香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽花香型
S127,U127,家/宿舍、图书馆/自习室,困倦、疲劳,平静,清爽、花香,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽花香型
S128,U128,家/宿舍,疲劳,平静,清爽,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽型
S129,U129,公园/户外,感觉有点冷,平静,果香、甜感,热饮,低糖、乳糖不耐慎用,低糖热饮果香甜感型
S130,U130,公园/户外,感觉有点热,紧张,花香,热饮,低糖、低刺激,低糖热饮花香型
S131,U131,家/宿舍、地铁/公交/车站,疲劳,烦躁,花香、清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽花香型
S132,U132,家/宿舍,疲劳,平静,花香,热饮,低糖、咖啡因敏感慎用、乳糖不耐慎用,低糖热饮花香型
S133,U133,图书馆/自习室,疲劳,烦躁,清爽、茶香,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽茶香型
S134,U134,地铁/公交/车站、公园/户外,疲劳、困倦,平静,清爽、果香、酸感,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽果香型
S135,U135,地铁/公交/车站、公园/户外,感觉有点冷,平静,茶香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽茶香型
S136,U136,图书馆/自习室,困倦,平静,咖啡香、苦感,冷饮,低糖,低糖冷饮咖啡香苦感型
S137,U137,商场/商业街、公园/户外,疲劳、感觉有点热,开心,清爽、茶香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽茶香型
S138,U138,健身房/运动场、商场/商业街,疲劳、口渴,烦躁,清爽、果香,冷饮,,冷饮清爽果香型
S139,U139,商场/商业街,良好,开心,奶香、甜感,热饮,低糖、乳糖不耐慎用,低糖热饮奶香甜感型
S140,U140,家/宿舍、公园/户外,困倦、感觉有点冷,平静,茶香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽茶香型
S141,U141,家/宿舍、学校/教学楼,困倦、疲劳,平静,清爽、花香,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽花香型
S142,U142,图书馆/自习室,疲劳,平静,清爽,冷饮,低糖,低糖冷饮清爽型
S143,U143,图书馆/自习室,良好,平静,清爽、茶香,热饮,低刺激、乳糖不耐慎用,低刺激热饮清爽茶香型
S144,U144,家/宿舍,疲劳,平静,茶香、清爽,热饮,低刺激,低刺激热饮清爽茶香型
S145,U145,学校/教学楼,疲劳,开心,茶香、苦感、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽茶香型
S146,U146,家/宿舍,疲劳,平静,清爽,热饮,低刺激、乳糖不耐慎用,低刺激热饮清爽型
S147,U147,家/宿舍、健身房/运动场,困倦、口渴,烦躁,清爽、茶香,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽茶香型
S148,U148,地铁/公交/车站、公园/户外,疲劳、困倦,烦躁,清爽、果香、酸感,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽果香型
S149,U149,地铁/公交/车站、公园/户外,疲劳、感觉有点冷,低落,奶香、清爽,热饮,低刺激,低刺激热饮清爽奶香型
S150,U150,地铁/公交/车站、公园/户外,疲劳、感觉有点热,平静,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型
S151,U151,健身房/运动场,疲劳、口渴,烦躁,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型
S152,U152,家/宿舍、商场/商业街、公园/户外,感觉有点冷、疲劳,平静,清爽,热饮,低糖,低糖热饮清爽型
S153,U153,家/宿舍,疲劳,平静,奶香、甜感,热饮,低刺激、咖啡因敏感慎用,低刺激热饮奶香甜感型
S154,U154,家/宿舍、图书馆/自习室,疲劳、困倦,烦躁,茶香、清爽,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽茶香型
S155,U155,家/宿舍,疲劳,平静,清爽、茶香,热饮,低糖、低刺激,低糖热饮清爽茶香型
S156,U156,家/宿舍、地铁/公交/车站,疲劳,平静,清爽,热饮,低刺激、咖啡因敏感慎用、乳糖不耐慎用,低刺激热饮清爽型
S157,U157,图书馆/自习室,良好,开心,清爽,热饮,低糖、低刺激,低糖热饮清爽型
S158,U158,学校/教学楼、图书馆/自习室,困倦,紧张,花香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽花香型
S159,U159,家/宿舍,疲劳,低落,奶香、甜感,热饮,低刺激、咖啡因敏感慎用,低刺激热饮奶香甜感型
S160,U160,图书馆/自习室,良好,烦躁,清爽、茶香,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽茶香型
S161,U161,地铁/公交/车站、公园/户外,困倦、感觉有点冷,烦躁,清爽、果香、酸感,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽果香型
S162,U162,学校/教学楼,疲劳,平静,花香、清爽,热饮,低刺激,低刺激热饮清爽花香型
S163,U163,图书馆/自习室,疲劳、困倦,烦躁,清爽、果香、酸感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽果香型
S164,U164,图书馆/自习室、公园/户外,感觉有点热,开心,果香、气泡感,冷饮,低糖,低糖冷饮果香气泡感型
S165,U165,健身房/运动场,疲劳、口渴,平静,清爽、果香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽果香型
S166,U166,商场/商业街、公园/户外,疲劳、感觉有点热,平静,果香、甜感,冷饮,乳糖不耐慎用,乳糖不耐慎用冷饮果香甜感型
S167,U167,家/宿舍、公园/户外,疲劳、感觉有点冷,低落,花香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽花香型
S168,U168,家/宿舍、学校/教学楼,困倦、疲劳,紧张,清爽、果香、酸感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽果香型
S169,U169,家/宿舍,疲劳,烦躁,果香、酸感、清爽,热饮,低糖、低刺激,低糖热饮清爽果香型
S170,U170,家/宿舍、商场/商业街,疲劳,平静,清爽、茶香,热饮,咖啡因敏感慎用、乳糖不耐慎用,咖啡因敏感慎用热饮清爽茶香型
S171,U171,公园/户外,感觉有点热,紧张,茶香、清爽,热饮,低糖、低刺激,低糖热饮清爽茶香型
S172,U172,学校/教学楼、图书馆/自习室,困倦,紧张,花香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽花香型
S173,U173,公园/户外,感觉有点冷,平静,奶香、甜感,热饮,咖啡因敏感慎用、乳糖不耐慎用,咖啡因敏感慎用热饮奶香甜感型
S174,U174,家/宿舍、健身房/运动场,疲劳、口渴,烦躁,清爽、果香、酸感,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽果香型
S175,U175,地铁/公交/车站、公园/户外,困倦、感觉有点热,开心,茶香、苦感,冷饮,低糖、咖啡因敏感慎用,低糖冷饮茶香苦感型
S176,U176,学校/教学楼,困倦,紧张,奶香、花香,热饮,低刺激,低刺激热饮奶香花香型
S177,U177,健身房/运动场、商场/商业街,疲劳、口渴,烦躁,清爽、果香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽果香型
S178,U178,地铁/公交/车站,疲劳,开心,茶香、苦感、清爽,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽茶香型
S179,U179,学校/教学楼,良好,开心,清爽、果香、酸感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽果香型
S180,U180,家/宿舍、学校/教学楼,困倦、疲劳,烦躁,茶香、清爽,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽茶香型
S181,U181,商场/商业街,良好,低落,果香、甜感,热饮,低糖、低刺激、乳糖不耐慎用,低糖热饮果香甜感型
S182,U182,家/宿舍,疲劳,平静,花香、清爽,热饮,低糖、低刺激,低糖热饮清爽花香型
S183,U183,图书馆/自习室,疲劳,紧张,茶香、清爽,热饮,低刺激,低刺激热饮清爽茶香型
S184,U184,地铁/公交/车站、公园/户外,感觉有点冷,低落,奶香、花香,热饮,低刺激,低刺激热饮奶香花香型
S185,U185,家/宿舍、商场/商业街、公园/户外,疲劳、感觉有点冷,烦躁,奶香、甜感,热饮,低糖、咖啡因敏感慎用,低糖热饮奶香甜感型
S186,U186,家/宿舍、商场/商业街,疲劳,平静,清爽,热饮,低糖、乳糖不耐慎用,低糖热饮清爽型
S187,U187,家/宿舍、学校/教学楼,疲劳,烦躁,花香、清爽,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽花香型
S188,U188,学校/教学楼、地铁/公交/车站,疲劳,紧张,清爽、果香、酸感,冷饮,低糖,低糖冷饮清爽果香型
S189,U189,家/宿舍、学校/教学楼,困倦、疲劳,平静,花香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽花香型
S190,U190,健身房/运动场、商场/商业街,疲劳、口渴,烦躁,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型
S191,U191,家/宿舍、图书馆/自习室,困倦、疲劳,紧张,清爽、果香、酸感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽果香型
S192,U192,家/宿舍、商场/商业街,疲劳,烦躁,花香、清爽,热饮,低糖、低刺激、咖啡因敏感慎用,低糖热饮清爽花香型
S193,U193,家/宿舍、学校/教学楼、图书馆/自习室,困倦、疲劳,紧张,清爽、果香、酸感,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽果香型
S194,U194,图书馆/自习室,疲劳,烦躁,果香、酸感、清爽,冷饮,低糖,低糖冷饮清爽果香型
S195,U195,家/宿舍、商场/商业街、公园/户外,疲劳、感觉有点冷,紧张,果香、甜感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮果香甜感型
S196,U196,地铁/公交/车站、公园/户外,感觉有点热,烦躁,果香、气泡感,冷饮,低糖,低糖冷饮果香气泡感型
S197,U197,图书馆/自习室,困倦,紧张,清爽、茶香、苦感,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽茶香型
S198,U198,家/宿舍,疲劳,紧张,清爽,热饮,低糖、低刺激,低糖热饮清爽型
S199,U199,家/宿舍,困倦、疲劳,平静,清爽,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽型
S200,U200,家/宿舍、健身房/运动场,疲劳、口渴,烦躁,清爽、茶香,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽茶香型
S201,U201,地铁/公交/车站、公园/户外,困倦、感觉有点冷,紧张,茶香、苦感,热饮,,热饮茶香苦感型
S202,U202,地铁/公交/车站、公园/户外,困倦、感觉有点热,烦躁,果香、酸感、清爽,冷饮,,冷饮清爽果香型
S203,U203,学校/教学楼、图书馆/自习室,困倦,平静,咖啡香、苦感,热饮,,热饮咖啡香苦感型
S204,U204,商场/商业街、地铁/公交/车站,疲劳,开心,奶香、甜感,热饮,,热饮奶香甜感型
S205,U205,健身房/运动场、公园/户外,疲劳、感觉有点热,烦躁,果香、酸感、气泡感,冷饮,,冷饮果香气泡感型
S206,U206,学校/教学楼、公园/户外,困倦、感觉有点冷,紧张,茶香、花香、清爽,热饮,,热饮清爽茶香型
S207,U207,商场/商业街,疲劳,开心,奶香、咖啡香、苦感,热饮,,热饮奶香咖啡香型
S208,U208,图书馆/自习室,困倦,平静,清爽、茶香,热饮,,热饮清爽茶香型
S209,U209,地铁/公交/车站,困倦,平静,咖啡香、酸感、苦感,冷饮,,冷饮咖啡香酸感型
S210,U210,健身房/运动场,疲劳、口渴,烦躁,果香、清爽,冷饮,,冷饮清爽果香型
S211,U211,图书馆/自习室,疲劳,紧张,茶香、苦感、清爽,热饮,,热饮清爽茶香型
S212,U212,学校/教学楼、图书馆/自习室,困倦,烦躁,清爽、果香、酸感,冷饮,,冷饮清爽果香型
S213,U213,学校/教学楼,困倦,平静,咖啡香、苦感,冷饮,,冷饮咖啡香苦感型
S214,U214,公园/户外,疲劳、感觉有点冷,低落,奶香、甜感,热饮,,热饮奶香甜感型
