input_id,body,mood,scene,flavor_preference,temperature_preference,limits,推荐方向,top1_recipe_id,top1_name,top1_score,top1_reason,top2_recipe_id,top2_name,top2_score,top2_reason,top3_recipe_id,top3_name,top3_score,top3_reason,manual_choice,manual_note
U0012,良好,紧张,学校/教学楼,清爽、花香,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽花香型,R045,荷叶陈皮,0.7714,匹配你的心情状态：紧张；匹配你的感官偏好：清爽、花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激、咖啡因敏感慎用,R038,菊花柠檬草,0.7714,匹配你的心情状态：紧张；匹配你的感官偏好：清爽、花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激、咖啡因敏感慎用,R055,薰衣草蓝莓,0.7713,匹配你的心情状态：紧张；匹配你的感官偏好：清爽、花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激、咖啡因敏感慎用,,
U0013,疲劳,低落,图书馆/自习室,甜感,热饮,低糖、乳糖不耐慎用,低糖热饮甜感型,R082,咖啡椰乳,0.8393,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：图书馆/自习室；匹配你的感官偏好：甜感；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、乳糖不耐慎用,R069,焙茶豆奶,0.8301,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：图书馆/自习室；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、乳糖不耐慎用,R056,陈皮红茶,0.8393,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：图书馆/自习室；匹配你的感官偏好：甜感；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、乳糖不耐慎用,,
U0014,良好,紧张,商场/商业街,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型,R053,百合椰子水,0.7592,匹配你的身体状态：良好；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,R043,金银花菊花,0.7592,匹配你的身体状态：良好；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,R050,柠檬草橙子,0.7592,匹配你的身体状态：良好；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,,
U0015,困倦、疲劳,烦躁,家/宿舍,清爽,热饮,低糖、咖啡因敏感慎用,低糖热饮清爽型,R038,菊花柠檬草,0.7686,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、咖啡因敏感慎用,R045,荷叶陈皮,0.7686,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、咖啡因敏感慎用,R055,薰衣草蓝莓,0.7686,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0016,疲劳,低落,家/宿舍,清爽、果香、酸感,热饮,低刺激,低刺激热饮清爽果香型,R055,薰衣草蓝莓,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：家/宿舍；匹配你的感官偏好：果香、清爽、酸感；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R116,椰乳百合,0.8362,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：家/宿舍；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R037,玫瑰桂花,0.8332,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,,
U0017,感觉有点冷,烦躁,图书馆/自习室、公园/户外,清爽,热饮,低刺激,低刺激热饮清爽型,R055,薰衣草蓝莓,0.8072,匹配你的身体状态：感觉有点冷；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R038,菊花柠檬草,0.8072,匹配你的身体状态：感觉有点冷；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R045,荷叶陈皮,0.8072,匹配你的身体状态：感觉有点冷；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,,
U0018,良好、疲劳,紧张,家/宿舍,茶香,常温,低糖、咖啡因敏感慎用,低糖常温茶香型,R045,荷叶陈皮,0.7621,匹配你的身体状态：疲劳；匹配你的心情状态：紧张；匹配你的场景：家/宿舍；已考虑你的健康约束：低糖、咖啡因敏感慎用,R038,菊花柠檬草,0.762,匹配你的身体状态：疲劳；匹配你的心情状态：紧张；匹配你的场景：家/宿舍；已考虑你的健康约束：低糖、咖啡因敏感慎用,R061,焙茶鲜奶,0.7173,匹配你的身体状态：疲劳；匹配你的感官偏好：茶香；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0019,良好、疲劳,低落,家/宿舍,果香、甜感,常温,,常温果香甜感型,R022,苹果茉莉绿茶,0.7729,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、甜感；匹配你的冷热偏好：常温,R007,蓝莓白茶,0.7729,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、甜感；匹配你的冷热偏好：常温,R016,柠檬铁观音,0.7729,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、甜感；匹配你的冷热偏好：常温,,
U0020,疲劳、感觉有点热,平静,商场/商业街、公园/户外,清爽,冷饮,低糖,低糖冷饮清爽型,R050,柠檬草橙子,0.7352,匹配你的心情状态：平静；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,R119,椰子水橙子,0.7352,匹配你的心情状态：平静；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,R048,玫瑰草莓,0.7686,匹配你的身体状态：感觉有点热；匹配你的场景：公园/户外、商场/商业街；匹配你的感官偏好：清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,,
U0021,疲劳,低落,图书馆/自习室,清爽,热饮,,热饮清爽型,R091,低因咖啡椰奶,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮,R062,玄米茶燕麦奶,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮,R076,焙茶奶泡,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮,,
U0022,疲劳,开心,家/宿舍,清爽,常温,低糖、低刺激,低糖常温清爽型,R055,薰衣草蓝莓,0.7693,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖、低刺激,R037,玫瑰桂花,0.8095,匹配你的身体状态：疲劳；匹配你的心情状态：开心；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖、低刺激,R040,薰衣草洋甘菊,0.8095,匹配你的身体状态：疲劳；匹配你的心情状态：开心；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖、低刺激,,
U0023,良好、疲劳,烦躁,家/宿舍,奶香,热饮,乳糖不耐慎用,乳糖不耐慎用热饮奶香型,R069,焙茶豆奶,0.7724,匹配你的身体状态：疲劳；匹配你的感官偏好：奶香；匹配你的冷热偏好：热饮；已考虑你的健康约束：乳糖不耐慎用,R030,芒果红茶,0.7535,匹配你的身体状态：疲劳；匹配你的心情状态：烦躁；已考虑你的健康约束：乳糖不耐慎用,R022,苹果茉莉绿茶,0.7534,匹配你的身体状态：疲劳；匹配你的心情状态：烦躁；已考虑你的健康约束：乳糖不耐慎用,,
U0024,疲劳,平静,图书馆/自习室,清爽,热饮,低糖,低糖热饮清爽型,R020,草莓玄米茶,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R014,葡萄焙茶,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R028,苹果焙茶,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,,
U0025,良好,烦躁,地铁/公交/车站,清爽,常温,,常温清爽型,R022,苹果茉莉绿茶,0.7711,匹配你的心情状态：烦躁；匹配你的感官偏好：清爽；匹配你的冷热偏好：常温,R043,金银花菊花,0.8053,匹配你的身体状态：良好；匹配你的场景：地铁/公交/车站；匹配你的感官偏好：清爽；匹配你的冷热偏好：常温,R053,百合椰子水,0.8052,匹配你的身体状态：良好；匹配你的场景：地铁/公交/车站；匹配你的感官偏好：清爽；匹配你的冷热偏好：常温,,
U0026,良好,紧张,商场/商业街,清爽,常温,咖啡因敏感慎用,咖啡因敏感慎用常温清爽型,R043,金银花菊花,0.8071,匹配你的身体状态：良好；匹配你的感官偏好：清爽；匹配你的冷热偏好：常温；已考虑你的健康约束：咖啡因敏感慎用,R053,百合椰子水,0.8071,匹配你的身体状态：良好；匹配你的感官偏好：清爽；匹配你的冷热偏好：常温；已考虑你的健康约束：咖啡因敏感慎用,R038,菊花柠檬草,0.735,匹配你的心情状态：紧张；匹配你的感官偏好：清爽；已考虑你的健康约束：咖啡因敏感慎用,,
U0027,疲劳,平静,图书馆/自习室,果香、酸感、甜感,常温,,常温果香酸感型,R030,芒果红茶,0.8361,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：果香、甜感；匹配你的冷热偏好：常温,R014,葡萄焙茶,0.8059,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：果香、甜感,R028,苹果焙茶,0.8059,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：果香、甜感,,
U0028,良好,紧张,图书馆/自习室,茶香,热饮,低糖、咖啡因敏感慎用,低糖热饮茶香型,R061,焙茶鲜奶,0.7155,匹配你的场景：图书馆/自习室；匹配你的感官偏好：茶香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、咖啡因敏感慎用,R075,红茶淡奶油,0.7154,匹配你的场景：图书馆/自习室；匹配你的感官偏好：茶香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、咖啡因敏感慎用,R045,荷叶陈皮,0.7528,匹配你的心情状态：紧张；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0029,良好,平静,商场/商业街,咖啡香、苦感,热饮,低糖,低糖热饮咖啡香苦感型,R061,焙茶鲜奶,0.7195,匹配你的感官偏好：咖啡香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R075,红茶淡奶油,0.7195,匹配你的感官偏好：苦感；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R030,芒果红茶,0.7255,匹配你的心情状态：平静；匹配你的感官偏好：苦感；已考虑你的健康约束：低糖,,
U0030,良好、疲劳,低落,家/宿舍,花香,热饮,,热饮花香型,R069,焙茶豆奶,0.8073,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的感官偏好：花香；匹配你的冷热偏好：热饮,R030,芒果红茶,0.7059,匹配你的身体状态：疲劳,R022,苹果茉莉绿茶,0.7309,匹配你的身体状态：疲劳；匹配你的感官偏好：花香,,
U0031,疲劳,低落,家/宿舍,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型,R083,冷萃咖啡椰子水,0.8073,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,R081,美式咖啡液橙子,0.8073,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,R009,桃子轻发酵乌龙,0.8072,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,,
U0032,困倦、疲劳,平静,家/宿舍,清爽、果香,冷饮,,冷饮清爽果香型,R009,桃子轻发酵乌龙,0.8072,匹配你的身体状态：困倦、疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮,R012,荔枝茉莉绿茶,0.8072,匹配你的身体状态：困倦、疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮,R033,草莓茉莉绿茶,0.8072,匹配你的身体状态：困倦、疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮,,
U0033,困倦,平静,图书馆/自习室,酸感、甜感,冷饮,低糖、咖啡因敏感慎用,低糖冷饮酸感甜感型,R045,荷叶陈皮,0.7267,匹配你的心情状态：平静；匹配你的感官偏好：甜感；已考虑你的健康约束：低糖、咖啡因敏感慎用,R038,菊花柠檬草,0.7266,匹配你的心情状态：平静；匹配你的感官偏好：甜感；已考虑你的健康约束：低糖、咖啡因敏感慎用,R055,薰衣草蓝莓,0.7349,匹配你的心情状态：平静；匹配你的感官偏好：甜感、酸感；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0034,疲劳、口渴,平静,健身房/运动场,清爽,冷饮,低糖,低糖冷饮清爽型,R083,冷萃咖啡椰子水,0.8072,匹配你的身体状态：口渴、疲劳；匹配你的感官偏好：清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,R009,桃子轻发酵乌龙,0.773,匹配你的身体状态：疲劳；匹配你的感官偏好：清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,R012,荔枝茉莉绿茶,0.773,匹配你的身体状态：疲劳；匹配你的感官偏好：清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,,
U0035,疲劳,平静,家/宿舍,清爽,热饮,低糖,低糖热饮清爽型,R045,荷叶陈皮,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R038,菊花柠檬草,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R008,苹果玄米茶,0.8072,匹配你的身体状态：疲劳；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,,
U0036,疲劳,烦躁,家/宿舍,清爽,热饮,低刺激,低刺激热饮清爽型,R055,薰衣草蓝莓,0.8058,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R038,菊花柠檬草,0.8058,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R045,荷叶陈皮,0.8057,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,,
U0037,良好,开心,商场/商业街,果香、花香、甜感,常温,低刺激,低刺激常温果香花香型,R043,金银花菊花,0.836,匹配你的身体状态：良好；匹配你的心情状态：开心；匹配你的感官偏好：甜感、花香；匹配你的冷热偏好：常温；已考虑你的健康约束：低刺激,R050,柠檬草橙子,0.8401,匹配你的身体状态：良好；匹配你的心情状态：开心；匹配你的感官偏好：果香、甜感、花香；匹配你的冷热偏好：常温；已考虑你的健康约束：低刺激,R119,椰子水橙子,0.8401,匹配你的身体状态：良好；匹配你的心情状态：开心；匹配你的感官偏好：果香、甜感、花香；匹配你的冷热偏好：常温；已考虑你的健康约束：低刺激,,
U0038,良好、疲劳,烦躁,家/宿舍,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型,R038,菊花柠檬草,0.7685,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：乳糖不耐慎用,R045,荷叶陈皮,0.7685,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：乳糖不耐慎用,R055,薰衣草蓝莓,0.7685,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：乳糖不耐慎用,,
U0039,良好,平静,图书馆/自习室,奶香、茶香,冷饮,低糖,低糖冷饮茶香奶香型,R061,焙茶鲜奶,0.6832,匹配你的场景：图书馆/自习室；匹配你的感官偏好：奶香、茶香；已考虑你的健康约束：低糖,R075,红茶淡奶油,0.6832,匹配你的场景：图书馆/自习室；匹配你的感官偏好：奶香、茶香；已考虑你的健康约束：低糖,R030,芒果红茶,0.7308,匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：茶香；已考虑你的健康约束：低糖,,
U0040,良好,低落,图书馆/自习室,清爽,热饮,,热饮清爽型,R022,苹果茉莉绿茶,0.6847,匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽,R039,茉莉花白茶,0.7776,匹配你的心情状态：低落；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮,R014,葡萄焙茶,0.728,匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮,,
U0041,困倦,烦躁,图书馆/自习室,茶香,冷饮,低糖、咖啡因敏感慎用,低糖冷饮茶香型,R045,荷叶陈皮,0.6619,已考虑你的健康约束：低糖、咖啡因敏感慎用,R038,菊花柠檬草,0.6616,已考虑你的健康约束：低糖、咖啡因敏感慎用,R061,焙茶鲜奶,0.7576,匹配你的身体状态：困倦；匹配你的场景：图书馆/自习室；匹配你的感官偏好：茶香；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0042,疲劳,紧张,学校/教学楼、图书馆/自习室,茶香,常温,低糖、咖啡因敏感慎用,低糖常温茶香型,R061,焙茶鲜奶,0.7569,匹配你的身体状态：疲劳；匹配你的场景：图书馆/自习室、学校/教学楼；匹配你的感官偏好：茶香；已考虑你的健康约束：低糖、咖啡因敏感慎用,R075,红茶淡奶油,0.7569,匹配你的身体状态：疲劳；匹配你的场景：图书馆/自习室、学校/教学楼；匹配你的感官偏好：茶香；已考虑你的健康约束：低糖、咖啡因敏感慎用,R045,荷叶陈皮,0.7866,匹配你的身体状态：疲劳；匹配你的心情状态：紧张；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0043,良好,紧张,学校/教学楼、图书馆/自习室,清爽、果香、花香,常温,,常温清爽果香型,R022,苹果茉莉绿茶,0.7774,匹配你的心情状态：紧张；匹配你的场景：图书馆/自习室、学校/教学楼；匹配你的感官偏好：果香、清爽、花香；匹配你的冷热偏好：常温,R030,芒果红茶,0.7727,匹配你的心情状态：紧张；匹配你的场景：图书馆/自习室、学校/教学楼；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：常温,R039,茉莉花白茶,0.7344,匹配你的心情状态：紧张；匹配你的场景：图书馆/自习室、学校/教学楼；匹配你的感官偏好：清爽、花香,,
U0044,疲劳,低落,家/宿舍、商场/商业街,奶香、花香,热饮,低糖、乳糖不耐慎用,低糖热饮奶香花香型,R039,茉莉花白茶,0.8336,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的感官偏好：花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、乳糖不耐慎用,R069,焙茶豆奶,0.8401,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的感官偏好：奶香、花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、乳糖不耐慎用,R056,陈皮红茶,0.8335,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的感官偏好：花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、乳糖不耐慎用,,
U0045,良好,烦躁,地铁/公交/车站,茶香、花香,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮茶香花香型,R045,荷叶陈皮,0.7163,匹配你的感官偏好：花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：咖啡因敏感慎用,R038,菊花柠檬草,0.7161,匹配你的感官偏好：花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：咖啡因敏感慎用,R043,金银花菊花,0.7534,匹配你的身体状态：良好；匹配你的场景：地铁/公交/车站；匹配你的感官偏好：花香；已考虑你的健康约束：咖啡因敏感慎用,,
