session_id,user_id,recipe_id,饮品名称,twin_tower_similarity,normalized_twin_similarity,state_score,flavor_score,scene_score,health_score,visual_score,rule_score,makeability_score,novelty_score,label,rank_target_score
S001,U001,R032,抹茶拿铁,-0.7876,0.1062,0.2435,0.2,0.25,0.65,0.0,0.313,1.0,0.5846,0,0.0
S001,U001,R033,燕麦奶抹茶拿铁,-0.7072,0.1464,0.25,0.2,0.25,0.65,0.0,0.315,1.0,0.6553,0,0.0
S001,U001,R034,椰奶抹茶拿铁,-0.7973,0.1013,0.254,0.1667,0.25,0.65,0.0,0.3095,1.0,0.8616,0,0.0
S001,U001,R035,杏仁奶抹茶拿铁,-0.7744,0.1128,0.25,0.2,0.25,0.65,0.0,0.315,1.0,0.6754,0,0.0
S001,U001,R036,港式鸳鸯,-0.7851,0.1074,0.2274,0.1429,0.25,0.65,0.0,0.2968,1.0,0.6749,0,0.0
S001,U001,R037,拿铁,-0.7818,0.1091,0.24,0.0,0.25,0.65,0.0,0.272,1.0,0.9788,0,0.0
S001,U001,R038,燕麦奶拿铁,-0.6986,0.1507,0.2379,0.0,0.25,0.65,0.0,0.2714,1.0,0.5484,0,0.0
S001,U001,R039,椰奶拿铁,-0.7741,0.113,0.2464,0.0,0.25,0.65,0.0,0.2739,1.0,0.6475,0,0.0
S001,U001,R040,杏仁奶拿铁,-0.77,0.115,0.2379,0.0,0.25,0.65,0.0,0.2714,1.0,0.7929,0,0.0
S001,U001,R041,拿铁（低咖啡因）,-0.7776,0.1112,0.0317,0.0,0.25,0.65,0.0,0.2095,1.0,0.7485,0,0.0
S001,U001,R042,燕麦奶拿铁（低咖啡因）,-0.7799,0.1101,0.0317,0.0,0.25,0.65,0.0,0.2095,1.0,0.7299,0,0.0
S001,U001,R043,椰奶拿铁（低咖啡因）,-0.7832,0.1084,0.04,0.0,0.25,0.65,0.0,0.212,1.0,0.5563,0,0.0
S001,U001,R044,杏仁奶拿铁（低咖啡因）,-0.782,0.109,0.0317,0.0,0.25,0.65,0.0,0.2095,1.0,0.8281,0,0.0
S001,U001,R045,卡布奇诺,-0.7772,0.1114,0.2341,0.0,0.25,0.65,0.0,0.2702,1.0,0.6652,0,0.0
S001,U001,R046,卡布奇诺（低咖啡因）,-0.7818,0.1091,0.0284,0.0,0.25,0.65,0.0,0.2085,1.0,0.622,0,0.0
S001,U001,R047,西班牙拿铁,-0.7822,0.1089,0.2136,0.0,0.25,0.65,0.0,0.2641,1.0,0.7507,0,0.0
S001,U001,R048,西班牙拿铁（低咖啡因）,-0.7822,0.1089,0.0794,0.0,0.25,0.65,0.0,0.2238,1.0,0.9866,0,0.0
S001,U001,R049,摩卡,-0.776,0.112,0.2032,0.0,0.25,0.65,0.0,0.261,1.0,0.6006,0,0.0
S001,U001,R050,燕麦奶摩卡,-0.7675,0.1162,0.2008,0.0,0.25,0.65,0.0,0.2602,1.0,0.5454,0,0.0
S001,U001,R051,椰奶摩卡,-0.7712,0.1144,0.2411,0.0,0.25,0.65,0.0,0.2723,1.0,0.807,0,0.0
S001,U001,R052,杏仁奶摩卡,-0.7683,0.1159,0.2316,0.0,0.25,0.65,0.0,0.2695,1.0,0.5842,0,0.0
S001,U001,R053,摩卡（低咖啡因）,-0.7746,0.1127,0.0817,0.0,0.25,0.65,0.0,0.2245,1.0,0.5314,0,0.0
S001,U001,R054,燕麦奶摩卡（低咖啡因）,-0.7784,0.1108,0.0811,0.0,0.25,0.65,0.0,0.2243,1.0,0.6661,0,0.0
S001,U001,R055,椰奶摩卡（低咖啡因）,-0.7744,0.1128,0.0894,0.0,0.25,0.65,0.0,0.2268,1.0,0.7694,0,0.0
S001,U001,R056,杏仁奶摩卡（低咖啡因）,-0.776,0.112,0.0811,0.0,0.25,0.65,0.0,0.2243,1.0,0.852,0,0.0
S001,U001,R057,dirty,-0.7816,0.1092,0.2332,0.0,0.25,0.65,0.0,0.27,0.7,0.8536,0,0.0
S001,U001,R058,燕麦奶dirty,-0.7742,0.1129,0.2316,0.0,0.25,0.65,0.0,0.2695,0.7,0.9101,0,0.0
S001,U001,R059,椰奶dirty,-0.7771,0.1115,0.2402,0.0,0.25,0.65,0.0,0.272,0.7,0.7208,0,0.0
S001,U001,R060,杏仁奶dirty,-0.7715,0.1142,0.2316,0.0,0.25,0.65,0.0,0.2695,0.7,0.6101,0,0.0
S001,U001,R061,dirty（低咖啡因）,-0.7814,0.1093,0.0817,0.0,0.25,0.65,0.0,0.2245,0.7,0.5945,0,0.0
S001,U001,R062,燕麦奶dirty（低咖啡因）,-0.781,0.1095,0.0817,0.0,0.25,0.65,0.0,0.2245,0.7,0.9514,0,0.0
S001,U001,R063,椰奶dirty（低咖啡因）,-0.7791,0.1105,0.0894,0.0,0.25,0.65,0.0,0.2268,0.7,0.6094,0,0.0
S001,U001,R064,杏仁奶dirty（低咖啡因）,-0.7783,0.1109,0.0817,0.0,0.25,0.65,0.0,0.2245,0.7,0.7513,0,0.0
S001,U001,R065,热可可,-0.6416,0.1792,0.1134,0.0,0.0,1.0,0.0,0.284,1.0,0.7555,0,0.3283
S001,U001,R066,燕麦奶热可可,-0.5316,0.2342,0.1224,0.0,0.0,1.0,0.0,0.2867,1.0,0.6342,0,0.3427
S001,U001,R067,杏仁奶热可可,-0.5456,0.2272,0.1224,0.0,0.0,1.0,0.0,0.2867,1.0,0.745,0,0.3458
S001,U001,R068,玫瑰椰椰烤奶,-0.6405,0.1798,0.133,0.125,0.0,1.0,0.0,0.3149,1.0,0.5407,0,0.3317
S001,U001,R069,玫瑰菊花茶,-0.453,0.2735,0.1335,0.0,0.0,1.0,0.0,0.2901,1.0,0.9215,0,0.3723
S001,U001,R070,玫瑰陈皮茶,-0.5768,0.2116,0.1423,0.0,0.0,1.0,0.0,0.2927,1.0,0.7187,0,0.3417
S001,U001,R071,金银花菊花茶,-0.4564,0.2718,0.1361,0.0,0.0,1.0,0.0,0.2908,1.0,0.8204,0,0.367
S001,U001,R072,菊花柠檬茶,-0.5757,0.2122,0.1756,0.0,0.0556,1.0,0.0,0.311,1.0,0.7187,0,0.3501
S001,U001,R073,薰衣草柠檬茶,-0.5856,0.2072,0.1746,0.0,0.0556,1.0,0.0,0.3107,1.0,0.536,0,0.3391
S001,U001,R074,百花茶,-0.5408,0.2296,0.13,0.0,0.0,1.0,0.0,0.289,1.0,0.7042,0,0.3456
S001,U001,R075,洛神花玫瑰茶,-0.6992,0.1504,0.119,0.0,0.0,1.0,0.0,0.2857,1.0,0.599,0,0.3112
S001,U001,R076,洛神花苹果茶,-0.7729,0.1135,0.1279,0.0,0.0,1.0,0.0,0.2884,1.0,0.6992,0,0.3045
S001,U001,R077,金银花荷叶茶,-0.6943,0.1528,0.125,0.0,0.0,1.0,0.0,0.2875,1.0,0.6504,0,0.3154
S001,U001,R078,百合玫瑰茶,-0.4113,0.2943,0.125,0.0,0.0,1.0,0.0,0.2875,1.0,0.5179,0,0.3583
S001,U001,R079,陈皮苹果茶,-0.7274,0.1363,0.1397,0.0,0.0,1.0,0.0,0.2919,1.0,0.9961,0,0.3289
S002,U002,R001,薄荷柠檬气泡茶,-0.789,0.1055,0.0607,0.0,0.0,0.75,0.0,0.2057,0.7,0.6273,0,0.0
S002,U002,R002,蜂蜜柠檬茶,-0.7083,0.1459,0.1485,0.0,0.25,1.0,0.0,0.3321,0.7,0.7983,0,0.3104
S002,U002,R003,葡萄柠檬茉莉花茶,-0.5949,0.2026,0.1224,0.0,0.0,1.0,0.0,0.2867,0.7,0.7426,0,0.307
S002,U002,R004,青柠桂花蜜乌龙,-0.6632,0.1684,0.1299,0.0,0.0,1.0,0.0,0.289,0.7,0.9324,0,0.3056
S002,U002,R005,百香果乳酸绿茶,-0.7303,0.1348,0.1056,0.0,0.0,1.0,0.0,0.2817,0.7,0.7272,0,0.2803
S002,U002,R006,百香果美式,-0.7851,0.1075,0.1166,0.0,0.0,0.75,0.0,0.2225,0.7,0.7118,0,0.0
S002,U002,R007,百香果美式（低咖啡因）,-0.5239,0.238,0.1162,0.0,0.05,0.75,0.0,0.2299,0.7,0.7214,0,0.0
S002,U002,R008,杨枝甘露,-0.6315,0.1842,0.0819,0.125,0.0,1.0,0.0,0.2996,0.3,0.5973,0,0.0
S002,U002,R009,鲜橙绿茶,-0.8063,0.0968,0.1084,0.0,0.0,1.0,0.0,0.2825,0.7,0.8751,0,0.2748
S002,U002,R010,橙C美式,-0.7943,0.1028,0.1262,0.0,0.0,0.75,0.0,0.2254,0.7,0.8144,0,0.0
S002,U002,R011,橙C美式（低咖啡因）,-0.5129,0.2435,0.1244,0.0,0.0556,0.75,0.0,0.2331,0.7,0.5643,0,0.0
S002,U002,R012,鲜橙养乐多,-0.5643,0.2179,0.0679,0.1429,0.0,1.0,0.0,0.2989,0.7,0.5233,0,0.3069
S002,U002,R013,草莓奶昔,-0.5595,0.2203,0.0762,0.125,0.0,1.0,0.0,0.2979,0.7,0.8239,0,0.0
S002,U002,R014,蓝莓奶昔,-0.5683,0.2159,0.0766,0.125,0.0,1.0,0.0,0.298,0.7,0.5036,0,0.0
S002,U002,R015,桃桃乌龙,-0.5979,0.201,0.1211,0.0,0.0,1.0,0.0,0.2863,0.7,0.8348,0,0.3109
S002,U002,R016,芒果奶昔,-0.5664,0.2168,0.0758,0.125,0.0,1.0,0.0,0.2977,0.7,0.6582,0,0.0
S002,U002,R017,柠迭莓萝气泡水,-0.7231,0.1384,0.0593,0.0,0.0,0.75,0.0,0.2053,0.3,0.8607,0,0.0
S002,U002,R018,茉莉苹果奶绿,-0.5854,0.2073,0.1452,0.1429,0.0,1.0,0.0,0.3221,0.7,0.5782,0,0.0
S002,U002,R019,荔枝白茶,-0.5767,0.2116,0.1315,0.0,0.0,1.0,0.0,0.2895,0.7,0.8456,0,0.3166
S002,U002,R020,超级吨吨桶,-0.7832,0.1084,0.1009,0.0,0.0,1.0,0.0,0.2803,0.3,0.5093,0,0.2195
S002,U002,R021,芝士奶盖铁观音,-0.5545,0.2227,0.14,0.1667,0.0,0.65,0.0,0.2378,0.7,0.8856,0,0.0
S002,U002,R022,抹茶椰青美式,-0.7906,0.1047,0.1355,0.0,0.0,0.75,0.0,0.2281,1.0,0.9777,0,0.0
S002,U002,R023,草莓抹茶椰,-0.6971,0.1514,0.1379,0.1667,0.0,0.75,0.0,0.2622,0.7,0.5446,0,0.0
S002,U002,R024,柠檬草薄荷气泡水,-0.7396,0.1302,0.0587,0.0,0.0,0.75,0.0,0.2051,0.7,0.8627,0,0.0
S002,U002,R025,蝶豆花柠檬气泡水,-0.7312,0.1344,0.0578,0.0,0.0,0.75,0.0,0.2048,0.3,0.6295,0,0.0
S002,U002,R026,泰式奶红,-0.6167,0.1917,0.1508,0.1667,0.0,1.0,0.0,0.3286,1.0,0.611,0,0.0
S002,U002,R027,泰式奶绿,-0.6423,0.1788,0.1485,0.1667,0.0,1.0,0.0,0.3279,1.0,0.9069,0,0.0
S002,U002,R028,冰橙伯爵鸳鸯茶,-0.7885,0.1058,0.1262,0.0,0.0,0.75,0.0,0.2254,1.0,0.6179,0,0.0
S002,U002,R029,伯爵红茶奶茶,-0.6307,0.1847,0.2664,0.2,0.3056,1.0,0.0,0.4157,1.0,0.5626,0,0.0
S002,U002,R030,焙茶豆乳,-0.4669,0.2666,0.2952,0.2,0.3056,1.0,0.0,0.4244,1.0,0.9917,0,0.4339
S002,U002,R031,抹茶豆乳,-0.5531,0.2234,0.2917,0.2,0.3056,0.75,0.0,0.3608,1.0,0.5266,0,0.0
S002,U002,R032,抹茶拿铁,-0.7924,0.1038,0.274,0.2,0.3056,0.75,0.0,0.3555,1.0,0.9456,0,0.0
S002,U002,R033,燕麦奶抹茶拿铁,-0.5773,0.2114,0.28,0.2,0.3056,0.75,0.0,0.3573,1.0,0.7131,0,0.0
S002,U002,R034,椰奶抹茶拿铁,-0.7812,0.1094,0.274,0.1667,0.3056,0.75,0.0,0.3489,1.0,0.7623,0,0.0
S002,U002,R035,杏仁奶抹茶拿铁,-0.8041,0.0979,0.28,0.2,0.3056,0.75,0.0,0.3573,1.0,0.5765,0,0.0
S002,U002,R036,港式鸳鸯,-0.7901,0.1049,0.2194,0.1429,0.3056,0.75,0.0,0.3277,1.0,0.6028,0,0.0
S002,U002,R037,拿铁,-0.7909,0.1046,0.27,0.1667,0.3056,0.75,0.0,0.3477,1.0,0.831,0,0.0
S002,U002,R038,燕麦奶拿铁,-0.6111,0.1944,0.2868,0.1667,0.3056,0.75,0.0,0.3527,1.0,0.7642,0,0.0
S002,U002,R039,椰奶拿铁,-0.8007,0.0996,0.2759,0.1429,0.3056,0.75,0.0,0.3447,1.0,0.802,0,0.0
S002,U002,R040,杏仁奶拿铁,-0.8028,0.0986,0.2868,0.1667,0.3056,0.75,0.0,0.3527,1.0,0.7214,0,0.0
S002,U002,R041,拿铁（低咖啡因）,-0.7899,0.1051,0.1635,0.25,0.3056,0.75,0.0,0.3324,1.0,0.9489,0,0.0
S002,U002,R042,燕麦奶拿铁（低咖啡因）,-0.7966,0.1017,0.174,0.25,0.3056,0.75,0.0,0.3355,1.0,0.829,0,0.0
S002,U002,R043,椰奶拿铁（低咖啡因）,-0.7929,0.1035,0.17,0.2222,0.3056,0.75,0.0,0.3288,1.0,0.647,0,0.0
S002,U002,R044,杏仁奶拿铁（低咖啡因）,-0.7925,0.1037,0.174,0.25,0.3056,0.75,0.0,0.3355,1.0,0.9106,0,0.0
S002,U002,R045,卡布奇诺,-0.7923,0.1038,0.2631,0.1429,0.3056,0.4,0.0,0.2533,1.0,0.6311,0,0.0
S002,U002,R046,卡布奇诺（低咖啡因）,-0.7911,0.1044,0.1569,0.2222,0.3056,0.4,0.0,0.2373,1.0,0.5522,0,0.0
S002,U002,R047,西班牙拿铁,-0.7936,0.1032,0.222,0.1429,0.3056,0.4,0.0,0.241,1.0,0.9205,0,0.0
S002,U002,R048,西班牙拿铁（低咖啡因）,-0.7933,0.1034,0.2102,0.2222,0.3056,0.75,0.0,0.3408,1.0,0.5573,0,0.0
S002,U002,R049,摩卡,-0.7933,0.1033,0.2121,0.1667,0.3,0.75,0.0,0.3295,1.0,0.5422,0,0.0
S002,U002,R050,燕麦奶摩卡,-0.8061,0.0969,0.2262,0.1667,0.3,0.75,0.0,0.3337,1.0,0.5637,0,0.0
S002,U002,R051,椰奶摩卡,-0.8035,0.0983,0.2498,0.1429,0.3056,0.75,0.0,0.3369,1.0,0.7171,0,0.0
S002,U002,R052,杏仁奶摩卡,-0.8028,0.0986,0.2573,0.1667,0.3056,0.75,0.0,0.3439,1.0,0.5111,0,0.0
S002,U002,R053,摩卡（低咖啡因）,-0.7948,0.1026,0.2142,0.25,0.3056,0.75,0.0,0.3476,1.0,0.5866,0,0.0
S002,U002,R054,燕麦奶摩卡（低咖啡因）,-0.7972,0.1014,0.2221,0.25,0.3056,0.75,0.0,0.35,1.0,0.6577,0,0.0
S002,U002,R055,椰奶摩卡（低咖啡因）,-0.7995,0.1003,0.221,0.2222,0.3056,0.75,0.0,0.3441,1.0,0.5548,0,0.0
S002,U002,R056,杏仁奶摩卡（低咖啡因）,-0.8012,0.0994,0.2221,0.25,0.3056,0.75,0.0,0.35,1.0,0.5732,0,0.0
S002,U002,R057,dirty,-0.7925,0.1038,0.2421,0.1429,0.3056,0.75,0.0,0.3345,0.7,0.7902,0,0.0
S002,U002,R058,燕麦奶dirty,-0.7974,0.1013,0.2573,0.1429,0.3056,0.75,0.0,0.3391,0.7,0.8636,0,0.0
S002,U002,R059,椰奶dirty,-0.7997,0.1002,0.2488,0.125,0.3056,0.75,0.0,0.333,0.7,0.7763,0,0.0
S002,U002,R060,杏仁奶dirty,-0.8005,0.0998,0.2573,0.1429,0.3056,0.75,0.0,0.3391,0.7,0.5398,0,0.0
S002,U002,R061,dirty（低咖啡因）,-0.7919,0.1041,0.2142,0.2222,0.3056,0.75,0.0,0.342,0.7,0.7869,0,0.0
S002,U002,R062,燕麦奶dirty（低咖啡因）,-0.7989,0.1006,0.2233,0.2222,0.3056,0.75,0.0,0.3448,0.7,0.6093,0,0.0
S002,U002,R063,椰奶dirty（低咖啡因）,-0.8012,0.0994,0.221,0.2,0.3056,0.75,0.0,0.3396,0.7,0.562,0,0.0
S002,U002,R064,杏仁奶dirty（低咖啡因）,-0.7964,0.1018,0.2233,0.2222,0.3056,0.75,0.0,0.3448,0.7,0.8197,0,0.0
S002,U002,R065,热可可,-0.0208,0.4896,0.2052,0.4,0.5556,1.0,0.0,0.4749,1.0,0.5,0,0.0
S002,U002,R066,燕麦奶热可可,0.2,0.6,0.2213,0.4,0.5556,1.0,0.0,0.4797,1.0,0.5645,1,0.6041
S002,U002,R067,杏仁奶热可可,0.1563,0.5781,0.2213,0.4,0.5556,1.0,0.0,0.4797,1.0,0.7963,1,0.608
S002,U002,R068,玫瑰椰椰烤奶,-0.1369,0.4315,0.2687,0.25,0.5556,1.0,0.0,0.464,1.0,0.9445,1,0.5571
S002,U002,R069,玫瑰菊花茶,0.1061,0.553,0.2202,0.25,0.6111,1.0,0.0,0.4577,1.0,0.7143,1,0.5852
S002,U002,R070,玫瑰陈皮茶,-0.3885,0.3058,0.2173,0.1667,0.6111,1.0,0.0,0.4402,1.0,0.9356,0,0.4519
S002,U002,R071,金银花菊花茶,-0.1002,0.4499,0.2233,0.2,0.6111,1.0,0.0,0.4487,1.0,0.5792,0,0.4883
S002,U002,R072,菊花柠檬茶,-0.6873,0.1564,0.1666,0.1429,0.5556,1.0,0.0,0.4119,1.0,0.9409,0,0.3871
S002,U002,R073,薰衣草柠檬茶,-0.6944,0.1528,0.1657,0.125,0.5556,1.0,0.0,0.4081,1.0,0.8602,0,0.3801
S002,U002,R074,百花茶,-0.454,0.273,0.216,0.2,0.6111,1.0,0.0,0.4465,1.0,0.666,0,0.4298
S002,U002,R075,洛神花玫瑰茶,-0.5948,0.2026,0.216,0.2,0.6111,1.0,0.0,0.4465,1.0,0.8078,0,0.4122
S002,U002,R076,洛神花苹果茶,-0.757,0.1215,0.2135,0.1667,0.6111,1.0,0.0,0.439,1.0,0.654,0,0.3728
S002,U002,R077,金银花荷叶茶,-0.591,0.2045,0.21,0.2,0.6111,1.0,0.0,0.4447,1.0,0.7684,0,0.4101
S002,U002,R078,百合玫瑰茶,0.2099,0.605,0.225,0.25,0.6111,1.0,0.0,0.4592,1.0,0.8212,1,0.6094
S002,U002,R079,陈皮苹果茶,-0.5325,0.2338,0.2147,0.1667,0.6111,1.0,0.0,0.4394,1.0,0.6343,0,0.4113
S003,U003,R001,薄荷柠檬气泡茶,-0.8358,0.0821,0.0232,0.1111,0.5,1.0,0.0,0.3542,0.7,0.5243,0,0.2843
S003,U003,R002,蜂蜜柠檬茶,-0.3366,0.3317,0.0243,0.4,0.25,1.0,0.0,0.3748,0.7,0.7635,0,0.3929
S003,U003,R003,葡萄柠檬茉莉花茶,-0.0909,0.4546,0.0243,0.2857,0.5,1.0,0.0,0.3894,0.7,0.7863,0,0.4436
S003,U003,R004,青柠桂花蜜乌龙,-0.1487,0.4256,0.0239,0.3333,0.5,1.0,0.0,0.3988,0.7,0.7293,1,0.4849
S003,U003,R005,百香果乳酸绿茶,-0.6324,0.1838,0.0229,0.2857,0.5,1.0,0.0,0.389,0.7,0.6868,0,0.3437
S003,U003,R006,百香果美式,-0.8323,0.0839,0.0266,0.1111,0.5,1.0,0.0,0.3552,0.7,0.6598,0,0.2922
S003,U003,R007,百香果美式（低咖啡因）,-0.6104,0.1948,0.0753,0.1111,0.5,1.0,0.0,0.3698,0.7,0.7308,0,0.3411
S003,U003,R008,杨枝甘露,-0.4293,0.2854,0.0728,0.25,0.5,1.0,0.0,0.3968,0.3,0.8919,0,0.353
S003,U003,R009,鲜橙绿茶,-0.6225,0.1887,0.0266,0.2857,0.5,1.0,0.0,0.3901,0.7,0.7066,0,0.3469
S003,U003,R010,橙C美式,-0.8334,0.0833,0.0262,0.2222,0.5,1.0,0.0,0.3773,0.7,0.8743,0,0.3127
S003,U003,R011,橙C美式（低咖啡因）,-0.5697,0.2151,0.0753,0.2222,0.5,1.0,0.0,0.392,0.7,0.513,0,0.3473
S003,U003,R012,鲜橙养乐多,-0.1758,0.4121,0.0867,0.2857,0.5,1.0,0.0,0.4082,0.7,0.9432,1,0.4951
S003,U003,R013,草莓奶昔,-0.287,0.3565,0.0758,0.25,0.5,1.0,0.0,0.3977,0.7,0.5107,0,0.3993
S003,U003,R014,蓝莓奶昔,-0.1903,0.4048,0.0764,0.25,0.5,1.0,0.0,0.3979,0.7,0.5447,0,0.418
S003,U003,R015,桃桃乌龙,0.1533,0.5767,0.0311,0.4,0.5,1.0,0.0,0.4143,0.7,0.803,1,0.5484
S003,U003,R016,芒果奶昔,-0.2853,0.3574,0.0753,0.25,0.5,1.0,0.0,0.3976,0.7,0.9631,0,0.4221
S003,U003,R017,柠迭莓萝气泡水,-0.4539,0.273,0.0286,0.2222,0.5,1.0,0.0,0.378,0.3,0.7935,0,0.3353
S003,U003,R018,茉莉苹果奶绿,-0.2062,0.3969,0.0226,0.2857,0.5,1.0,0.0,0.3889,0.7,0.9252,0,0.4302
S003,U003,R019,荔枝白茶,0.0964,0.5482,0.0311,0.4,0.5,1.0,0.0,0.4143,0.7,0.6427,1,0.5304
S003,U003,R020,超级吨吨桶,-0.8343,0.0829,0.0634,0.2222,0.5,1.0,0.0,0.3885,0.3,0.6747,0,0.2676
S003,U003,R021,芝士奶盖铁观音,-0.3235,0.3382,0.02,0.1667,0.5,1.0,0.0,0.3643,0.7,0.7166,0,0.3881
S003,U003,R022,抹茶椰青美式,-0.7318,0.1341,0.0177,0.125,0.5,1.0,0.0,0.3553,1.0,0.8745,0,0.3506
S003,U003,R023,草莓抹茶椰,-0.4418,0.2791,0.0284,0.3333,0.5,1.0,0.0,0.4002,0.7,0.7021,1,0.4329
S003,U003,R024,柠檬草薄荷气泡水,-0.6376,0.1812,0.0266,0.1111,0.5,1.0,0.0,0.3552,0.7,0.8841,0,0.3375
S003,U003,R025,蝶豆花柠檬气泡水,-0.6203,0.1898,0.0254,0.1,0.5,1.0,0.0,0.3526,0.3,0.9987,0,0.305
S003,U003,R026,泰式奶红,-0.7615,0.1193,0.0254,0.1667,0.5,1.0,0.0,0.3659,1.0,0.6617,0,0.3395
S003,U003,R027,泰式奶绿,-0.757,0.1215,0.0162,0.1667,0.5,1.0,0.0,0.3632,1.0,0.5017,0,0.3311
S003,U003,R028,冰橙伯爵鸳鸯茶,-0.826,0.087,0.0262,0.1667,0.5,1.0,0.0,0.3662,1.0,0.6869,0,0.3296
S003,U003,R029,伯爵红茶奶茶,-0.9088,0.0456,0.0284,0.2,0.25,1.0,0.0,0.336,1.0,0.7533,0,0.3048
S003,U003,R030,焙茶豆乳,-0.7272,0.1364,0.0212,0.2,0.25,1.0,0.0,0.3338,1.0,0.6913,0,0.3325
S003,U003,R031,抹茶豆乳,-0.7941,0.1029,0.0204,0.2,0.25,1.0,0.0,0.3336,1.0,0.5041,0,0.3114
