recommendation_id,session_id,user_id,recipe_id,饮品名称,推荐排名,双塔相似度,规则综合分,状态匹配分,风味偏好分,场景适配分,健康约束分,视觉适配分,制作可行性分,新颖度分,baseline_rank_score,mlp_rank_score,最终排序分,候选来源,是否通过规则过滤,过滤原因,推荐理由,推荐标签依据
REC011,S004,U004,R069,玫瑰菊花茶,2,0.3793,0.3327,0.2202,0.0,0.1111,1.0,0.0,1.0,0.5518,0.4337,0.5523,0.5523,主候选,True,,该饮品与用户当前的【睡眠不足、紧张、想放松】较匹配，同时兼顾【咖啡因敏感】与【常温】，适合作为当前场景下的个性化饮品推荐。,紧张、想放松、低刺激
REC012,S004,U004,R071,金银花菊花茶,3,0.3125,0.3337,0.2233,0.0,0.1111,1.0,0.0,1.0,0.5728,0.4017,0.5382,0.5382,主候选,True,,该饮品与用户当前的【睡眠不足、紧张、想放松】较匹配，同时兼顾【咖啡因敏感】与【常温】，适合作为当前场景下的个性化饮品推荐。,紧张、想放松、低刺激
REC013,S005,U005,R078,百合玫瑰茶,1,0.4516,0.4862,0.2875,0.25,0.6667,1.0,0.0,1.0,0.7213,0.532,0.6267,0.6267,主候选,True,,该饮品与用户当前的【胃敏感、低落、想放松】较匹配，同时兼顾【胃敏感慎用、忌强刺激】与【热饮】，适合作为当前场景下的个性化饮品推荐。,低落、想放松、温热
REC014,S005,U005,R069,玫瑰菊花茶,2,0.404,0.4843,0.2811,0.25,0.6667,1.0,0.0,1.0,0.534,0.4982,0.604,0.604,主候选,True,,该饮品与用户当前的【胃敏感、低落、想放松】较匹配，同时兼顾【胃敏感慎用、忌强刺激】与【热饮】，适合作为当前场景下的个性化饮品推荐。,低落、想放松、温热
REC015,S005,U005,R071,金银花菊花茶,3,0.3893,0.4756,0.2853,0.2,0.6667,1.0,0.0,1.0,0.5235,0.4873,0.5973,0.5973,主候选,True,,该饮品与用户当前的【胃敏感、低落、想放松】较匹配，同时兼顾【胃敏感慎用、忌强刺激】与【热饮】，适合作为当前场景下的个性化饮品推荐。,低落、想放松、温热
REC016,S006,U006,R019,荔枝白茶,1,0.2837,0.4122,0.263,0.0,0.5556,1.0,0.0,0.7,0.9699,0.4046,0.57,0.57,主候选,True,,该饮品与用户当前的【疲惫、烦躁、想提神】较匹配，同时兼顾【咖啡因敏感、夜间慎用】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,疲惫、烦躁、想提神、清爽
REC017,S006,U006,R015,桃桃乌龙,2,0.3021,0.4091,0.2526,0.0,0.5556,1.0,0.0,0.7,0.5814,0.3933,0.5489,0.5489,主候选,True,,该饮品与用户当前的【疲惫、烦躁、想提神】较匹配，同时兼顾【咖啡因敏感、夜间慎用】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,疲惫、烦躁、想提神、清爽
REC018,S006,U006,R003,葡萄柠檬茉莉花茶,3,0.1639,0.4092,0.2528,0.0,0.5556,1.0,0.0,0.7,0.6662,0.3285,0.5213,0.5213,主候选,True,,该饮品与用户当前的【疲惫、烦躁、想提神】较匹配，同时兼顾【咖啡因敏感、夜间慎用】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,疲惫、烦躁、想提神、清爽
REC019,S007,U007,R016,芒果奶昔,1,0.2315,0.4224,0.2102,0.125,0.5625,1.0,0.0,0.7,0.8653,0.3769,0.5554,0.5554,主候选,True,,该饮品与用户当前的【运动后、想满足、想放松】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,想满足、想放松、果香
REC020,S007,U007,R014,蓝莓奶昔,2,0.28,0.423,0.2121,0.125,0.5625,1.0,0.0,0.7,0.5784,0.387,0.5487,0.5487,主候选,True,,该饮品与用户当前的【运动后、想满足、想放松】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,想满足、想放松、果香
REC021,S007,U007,R013,草莓奶昔,3,0.2366,0.4227,0.2111,0.125,0.5625,1.0,0.0,0.7,0.6875,0.3706,0.5453,0.5453,主候选,True,,该饮品与用户当前的【运动后、想满足、想放松】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,想满足、想放松、果香
REC022,S008,U008,R069,玫瑰菊花茶,1,0.3909,0.45,0.1944,0.25,0.6111,1.0,0.0,1.0,0.9685,0.5014,0.6196,0.6196,主候选,True,,该饮品与用户当前的【轻补充、低落、温热】较匹配，同时兼顾【控糖】与【热饮】，适合作为当前场景下的个性化饮品推荐。,轻补充、低落、温热
REC023,S008,U008,R078,百合玫瑰茶,2,0.4352,0.4517,0.2,0.25,0.6111,1.0,0.0,1.0,0.7079,0.5111,0.6138,0.6138,主候选,True,,该饮品与用户当前的【轻补充、低落、温热】较匹配，同时兼顾【控糖】与【热饮】，适合作为当前场景下的个性化饮品推荐。,轻补充、低落、温热
REC024,S008,U008,R071,金银花菊花茶,3,0.3555,0.4411,0.1981,0.2,0.6111,1.0,0.0,1.0,0.8822,0.4762,0.6033,0.6033,主候选,True,,该饮品与用户当前的【轻补充、低落、温热】较匹配，同时兼顾【控糖】与【热饮】，适合作为当前场景下的个性化饮品推荐。,轻补充、低落、温热
REC025,S009,U009,R066,燕麦奶热可可,1,0.249,0.4143,0.1331,0.2,0.5625,1.0,0.0,1.0,0.5418,0.3966,0.5499,0.5499,主候选,True,,该饮品与用户当前的【寒冷天气、疲惫、放松】较匹配，同时兼顾【无】与【热饮】，适合作为当前场景下的个性化饮品推荐。,疲惫、放松、温热
REC026,S009,U009,R067,杏仁奶热可可,2,0.2151,0.4143,0.1331,0.2,0.5625,1.0,0.0,1.0,0.648,0.385,0.5491,0.5491,主候选,True,,该饮品与用户当前的【寒冷天气、疲惫、放松】较匹配，同时兼顾【无】与【热饮】，适合作为当前场景下的个性化饮品推荐。,疲惫、放松、温热
REC027,S009,U009,R078,百合玫瑰茶,3,0.1711,0.4208,0.125,0.25,0.5556,1.0,0.0,1.0,0.6314,0.3644,0.5392,0.5392,主候选,True,,该饮品与用户当前的【寒冷天气、疲惫、放松】较匹配，同时兼顾【无】与【热饮】，适合作为当前场景下的个性化饮品推荐。,疲惫、放松、温热
REC028,S010,U010,R014,蓝莓奶昔,1,0.3281,0.3053,0.1532,0.0,0.0625,1.0,0.0,0.7,0.9043,0.3861,0.5414,0.5414,主候选,True,,该饮品与用户当前的【无明显不适、想满足、想轻盈】较匹配，同时兼顾【胃敏感慎用】与【常温】，适合作为当前场景下的个性化饮品推荐。,想满足、清爽
REC029,S010,U010,R013,草莓奶昔,2,0.2837,0.3051,0.1524,0.0,0.0625,1.0,0.0,0.7,0.8092,0.3591,0.5209,0.5209,主候选,True,,该饮品与用户当前的【无明显不适、想满足、想轻盈】较匹配，同时兼顾【胃敏感慎用】与【常温】，适合作为当前场景下的个性化饮品推荐。,想满足、清爽
REC030,S010,U010,R016,芒果奶昔,3,0.2809,0.3048,0.1516,0.0,0.0625,1.0,0.0,0.7,0.7804,0.3562,0.5175,0.5175,主候选,True,,该饮品与用户当前的【无明显不适、想满足、想轻盈】较匹配，同时兼顾【胃敏感慎用】与【常温】，适合作为当前场景下的个性化饮品推荐。,想满足、清爽
REC031,S011,U011,R016,芒果奶昔,1,0.2311,0.3997,0.1344,0.125,0.5625,1.0,0.0,0.7,0.9965,0.3753,0.559,0.559,主候选,True,,该饮品与用户当前的【无明显不适、想释放、想焕新】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,想释放、清爽、果香
REC032,S011,U011,R014,蓝莓奶昔,2,0.3004,0.4,0.1355,0.125,0.5625,1.0,0.0,0.7,0.513,0.3858,0.5446,0.5446,主候选,True,,该饮品与用户当前的【无明显不适、想释放、想焕新】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,想释放、清爽、果香
REC033,S011,U011,R013,草莓奶昔,3,0.2339,0.3999,0.1349,0.125,0.5625,1.0,0.0,0.7,0.5059,0.3522,0.5281,0.5281,主候选,True,,该饮品与用户当前的【无明显不适、想释放、想焕新】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,想释放、清爽、果香
REC034,S012,U012,R078,百合玫瑰茶,1,0.4429,0.3879,0.2375,0.25,0.1111,1.0,0.0,1.0,0.9265,0.5035,0.6059,0.6059,主候选,True,,该饮品与用户当前的【胃敏感、紧张、想放松】较匹配，同时兼顾【咖啡因敏感、胃敏感慎用】与【温热】，适合作为当前场景下的个性化饮品推荐。,紧张、想放松、低刺激、温热
REC035,S012,U012,R069,玫瑰菊花茶,2,0.3941,0.3862,0.2319,0.25,0.1111,1.0,0.0,1.0,0.752,0.4698,0.5828,0.5828,主候选,True,,该饮品与用户当前的【胃敏感、紧张、想放松】较匹配，同时兼顾【咖啡因敏感、胃敏感慎用】与【温热】，适合作为当前场景下的个性化饮品推荐。,紧张、想放松、低刺激、温热
REC036,S012,U012,R071,金银花菊花茶,3,0.3713,0.3773,0.2356,0.2,0.1111,1.0,0.0,1.0,0.5669,0.446,0.5625,0.5625,主候选,True,,该饮品与用户当前的【胃敏感、紧张、想放松】较匹配，同时兼顾【咖啡因敏感、胃敏感慎用】与【温热】，适合作为当前场景下的个性化饮品推荐。,紧张、想放松、低刺激、温热
REC037,S013,U013,R078,百合玫瑰茶,1,0.4099,0.3492,0.275,0.0,0.1111,1.0,0.0,1.0,0.7097,0.4626,0.573,0.573,主候选,True,,该饮品与用户当前的【轻补充、疲惫、低落】较匹配，同时兼顾【乳糖不耐、控糖】与【常温】，适合作为当前场景下的个性化饮品推荐。,轻补充、疲惫、低落、想安抚
REC038,S013,U013,R069,玫瑰菊花茶,2,0.3591,0.3475,0.2694,0.0,0.1111,1.0,0.0,1.0,0.7043,0.4364,0.5605,0.5605,主候选,True,,该饮品与用户当前的【轻补充、疲惫、低落】较匹配，同时兼顾【乳糖不耐、控糖】与【常温】，适合作为当前场景下的个性化饮品推荐。,轻补充、疲惫、低落、想安抚
REC039,S013,U013,R071,金银花菊花茶,3,0.26,0.3486,0.2731,0.0,0.1111,1.0,0.0,1.0,0.6018,0.3821,0.5303,0.5303,主候选,True,,该饮品与用户当前的【轻补充、疲惫、低落】较匹配，同时兼顾【乳糖不耐、控糖】与【常温】，适合作为当前场景下的个性化饮品推荐。,轻补充、疲惫、低落、想安抚
REC040,S014,U014,R019,荔枝白茶,1,0.1835,0.3603,0.0865,0.0,0.5625,1.0,0.0,0.7,0.7986,0.3278,0.5245,0.5245,主候选,True,,该饮品与用户当前的【无明显不适、紧张、想清新】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,无明显不适、紧张、想清新、想自信、绿茶
REC041,S014,U014,R015,桃桃乌龙,2,0.1971,0.3603,0.0865,0.0,0.5625,1.0,0.0,0.7,0.7073,0.33,0.5218,0.5218,主候选,True,,该饮品与用户当前的【无明显不适、紧张、想清新】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,无明显不适、紧张、想清新、想自信、绿茶
REC042,S014,U014,R003,葡萄柠檬茉莉花茶,3,0.0793,0.36,0.0854,0.0,0.5625,1.0,0.0,0.7,0.9579,0.2835,0.5108,0.5108,主候选,True,,该饮品与用户当前的【无明显不适、紧张、想清新】较匹配，同时兼顾【无】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,无明显不适、紧张、想清新、想自信、绿茶
REC043,S015,U015,R078,百合玫瑰茶,1,0.4264,0.3296,0.2375,0.0,0.0556,1.0,0.0,1.0,0.7629,0.4667,0.5758,0.5758,主候选,True,,该饮品与用户当前的【睡眠不足、烦躁、想放松】较匹配，同时兼顾【夜间慎用高咖啡因】与【温热】，适合作为当前场景下的个性化饮品推荐。,烦躁、想放松、想安抚
REC044,S015,U015,R069,玫瑰菊花茶,2,0.3875,0.3279,0.2319,0.0,0.0556,1.0,0.0,1.0,0.5791,0.4375,0.5539,0.5539,主候选,True,,该饮品与用户当前的【睡眠不足、烦躁、想放松】较匹配，同时兼顾【夜间慎用高咖啡因】与【温热】，适合作为当前场景下的个性化饮品推荐。,烦躁、想放松、想安抚
REC045,S015,U015,R071,金银花菊花茶,3,0.3137,0.329,0.2356,0.0,0.0556,1.0,0.0,1.0,0.9403,0.419,0.5537,0.5537,主候选,True,,该饮品与用户当前的【睡眠不足、烦躁、想放松】较匹配，同时兼顾【夜间慎用高咖啡因】与【温热】，适合作为当前场景下的个性化饮品推荐。,烦躁、想放松、想安抚
REC046,S016,U016,R078,百合玫瑰茶,1,0.4489,0.3421,0.1125,0.25,0.0556,1.0,0.0,1.0,0.9394,0.4911,0.5999,0.5999,主候选,True,,该饮品与用户当前的【低刺激、低落、清爽】较匹配，同时兼顾【胃敏感慎用】与【温热】，适合作为当前场景下的个性化饮品推荐。,低刺激、低落、温热
REC047,S016,U016,R069,玫瑰菊花茶,2,0.3993,0.3449,0.1218,0.25,0.0556,1.0,0.0,1.0,0.8682,0.4638,0.5843,0.5843,主候选,True,,该饮品与用户当前的【低刺激、低落、清爽】较匹配，同时兼顾【胃敏感慎用】与【温热】，适合作为当前场景下的个性化饮品推荐。,低刺激、低落、温热
REC048,S016,U016,R071,金银花菊花茶,3,0.3839,0.3355,0.1239,0.2,0.0556,1.0,0.0,1.0,0.5084,0.4348,0.5599,0.5599,主候选,True,,该饮品与用户当前的【低刺激、低落、清爽】较匹配，同时兼顾【胃敏感慎用】与【温热】，适合作为当前场景下的个性化饮品推荐。,低刺激、低落、温热
REC049,S017,U017,R078,百合玫瑰茶,1,0.4432,0.4713,0.2375,0.25,0.6667,1.0,0.0,1.0,0.8858,0.5309,0.6321,0.6321,主候选,True,,该饮品与用户当前的【低刺激、寒冷天气、烦躁】较匹配，同时兼顾【忌生冷】与【热饮】，适合作为当前场景下的个性化饮品推荐。,低刺激、烦躁、放松、温热
REC050,S017,U017,R069,玫瑰菊花茶,2,0.3997,0.4696,0.2319,0.25,0.6667,1.0,0.0,1.0,0.8615,0.5073,0.6204,0.6204,主候选,True,,该饮品与用户当前的【低刺激、寒冷天气、烦躁】较匹配，同时兼顾【忌生冷】与【热饮】，适合作为当前场景下的个性化饮品推荐。,低刺激、烦躁、放松、温热
REC051,S017,U017,R071,金银花菊花茶,3,0.3673,0.4607,0.2356,0.2,0.6667,1.0,0.0,1.0,0.586,0.4742,0.5931,0.5931,主候选,True,,该饮品与用户当前的【低刺激、寒冷天气、烦躁】较匹配，同时兼顾【忌生冷】与【热饮】，适合作为当前场景下的个性化饮品推荐。,低刺激、烦躁、放松、温热
REC052,S018,U018,R021,芝士奶盖铁观音,1,0.0914,0.2883,0.0963,0.0,0.0625,1.0,0.0,0.7,0.7042,0.2518,0.4564,0.4564,主候选,True,,该饮品与用户当前的【无明显不适、紧张、专注】较匹配，同时兼顾【咖啡因敏感、夜间慎用】与【常温】，适合作为当前场景下的个性化饮品推荐。,专注
REC053,S018,U018,R026,泰式奶红,2,-0.0707,0.2864,0.0901,0.0,0.0625,1.0,0.0,1.0,0.8984,0.2098,0.4557,0.4557,兜底补足,True,,该饮品与用户当前的【无明显不适、紧张、专注】较匹配，同时兼顾【咖啡因敏感、夜间慎用】与【常温】，适合作为当前场景下的个性化饮品推荐。,专注
REC054,S018,U018,R030,焙茶豆乳,3,-0.0183,0.2871,0.0923,0.0,0.0625,1.0,0.0,1.0,0.672,0.2249,0.4546,0.4546,兜底补足,True,,该饮品与用户当前的【无明显不适、紧张、专注】较匹配，同时兼顾【咖啡因敏感、夜间慎用】与【常温】，适合作为当前场景下的个性化饮品推荐。,专注
REC055,S019,U019,R014,蓝莓奶昔,1,0.3052,0.3677,0.1944,0.25,0.0625,1.0,0.0,0.7,0.6793,0.3853,0.5375,0.5375,主候选,True,,该饮品与用户当前的【无明显不适、低落、想开心】较匹配，同时兼顾【无】与【常温】，适合作为当前场景下的个性化饮品推荐。,低落、想满足、甜感、果香
REC056,S019,U019,R013,草莓奶昔,2,0.2419,0.3675,0.1937,0.25,0.0625,1.0,0.0,0.7,0.7775,0.3584,0.5281,0.5281,主候选,True,,该饮品与用户当前的【无明显不适、低落、想开心】较匹配，同时兼顾【无】与【常温】，适合作为当前场景下的个性化饮品推荐。,低落、想满足、甜感、果香
REC057,S019,U019,R016,芒果奶昔,3,0.239,0.3698,0.2016,0.25,0.0625,1.0,0.0,0.7,0.7616,0.357,0.5267,0.5267,主候选,True,,该饮品与用户当前的【无明显不适、低落、想开心】较匹配，同时兼顾【无】与【常温】，适合作为当前场景下的个性化饮品推荐。,低落、想满足、甜感、果香
REC058,S020,U020,R014,蓝莓奶昔,1,0.1102,0.398,0.2121,0.0,0.5625,1.0,0.0,0.7,0.7817,0.3035,0.5137,0.5137,主候选,True,,该饮品与用户当前的【炎热天气、轻补充、疲惫】较匹配，同时兼顾【控糖】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,轻补充、疲惫、清爽
REC059,S020,U020,R016,芒果奶昔,2,0.0529,0.3974,0.2102,0.0,0.5625,1.0,0.0,0.7,0.9563,0.2834,0.5111,0.5111,主候选,True,,该饮品与用户当前的【炎热天气、轻补充、疲惫】较匹配，同时兼顾【控糖】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,轻补充、疲惫、清爽
REC060,S020,U020,R013,草莓奶昔,3,0.0519,0.3977,0.2111,0.0,0.5625,1.0,0.0,0.7,0.7612,0.2732,0.4982,0.4982,主候选,True,,该饮品与用户当前的【炎热天气、轻补充、疲惫】较匹配，同时兼顾【控糖】与【冷饮】，适合作为当前场景下的个性化饮品推荐。,轻补充、疲惫、清爽
REC061,S021,U021,R066,燕麦奶热可可,1,0.1834,0.3724,0.3455,0.0,0.125,1.0,0.0,1.0,0.6471,0.3544,0.5196,0.5196,主候选,True,,该饮品与用户当前的【疲惫、低落、想放松】较匹配，同时兼顾【无】与【温热】，适合作为当前场景下的个性化饮品推荐。,疲惫、低落、想放松、想安抚
REC062,S021,U021,R078,百合玫瑰茶,2,0.1928,0.3642,0.325,0.0,0.1111,1.0,0.0,1.0,0.5029,0.349,0.5099,0.5099,主候选,True,,该饮品与用户当前的【疲惫、低落、想放松】较匹配，同时兼顾【无】与【温热】，适合作为当前场景下的个性化饮品推荐。,疲惫、低落、想放松、想安抚
REC063,S021,U021,R067,杏仁奶热可可,3,0.1453,0.3724,0.3455,0.0,0.125,1.0,0.0,1.0,0.5338,0.3297,0.5021,0.5021,主候选,True,,该饮品与用户当前的【疲惫、低落、想放松】较匹配，同时兼顾【无】与【温热】，适合作为当前场景下的个性化饮品推荐。,疲惫、低落、想放松、想安抚
REC064,S022,U022,R078,百合玫瑰茶,1,0.3039,0.2846,0.0875,0.0,0.0556,1.0,0.0,1.0,0.6811,0.3856,0.5371,0.5371,主候选,True,,该饮品与用户当前的【胃敏感、满足、想清凉】较匹配，同时兼顾【胃敏感慎用】与【常温】，适合作为当前场景下的个性化饮品推荐。,胃敏感、满足、想清凉、想低负担、芦荟
REC065,S022,U022,R069,玫瑰菊花茶,2,0.2691,0.2836,0.0843,0.0,0.0556,1.0,0.0,1.0,0.8032,0.374,0.5352,0.5352,主候选,True,,该饮品与用户当前的【胃敏感、满足、想清凉】较匹配，同时兼顾【胃敏感慎用】与【常温】，适合作为当前场景下的个性化饮品推荐。,胃敏感、满足、想清凉、想低负担、芦荟
REC066,S022,U022,R071,金银花菊花茶,3,0.1664,0.2806,0.0742,0.0,0.0556,1.0,0.0,1.0,0.7148,0.3172,0.5047,0.5047,主候选,True,,该饮品与用户当前的【胃敏感、满足、想清凉】较匹配，同时兼顾【胃敏感慎用】与【常温】，适合作为当前场景下的个性化饮品推荐。,胃敏感、满足、想清凉、想低负担、芦荟
REC067,S023,U023,R078,百合玫瑰茶,1,0.3206,0.3654,0.1625,0.25,0.1111,1.0,0.0,1.0,0.9011,0.4332,0.5735,0.5735,主候选,True,,该饮品与用户当前的【精力偏高、想释放、想放松】较匹配，同时兼顾【乳糖不耐】与【温热】，适合作为当前场景下的个性化饮品推荐。,想放松、低刺激、温热
REC068,S023,U023,R069,玫瑰菊花茶,2,0.2287,0.3645,0.1593,0.25,0.1111,1.0,0.0,1.0,0.6317,0.3735,0.5317,0.5317,主候选,True,,该饮品与用户当前的【精力偏高、想释放、想放松】较匹配，同时兼顾【乳糖不耐】与【温热】，适合作为当前场景下的个性化饮品推荐。,想放松、低刺激、温热
REC069,S023,U023,R066,燕麦奶热可可,3,0.1023,0.4058,0.2213,0.4,0.0625,1.0,0.0,1.0,0.798,0.3331,0.5204,0.5204,主候选,True,,该饮品与用户当前的【精力偏高、想释放、想放松】较匹配，同时兼顾【乳糖不耐】与【温热】，适合作为当前场景下的个性化饮品推荐。,想释放、想放松、奶香、温热
REC070,S024,U024,R015,桃桃乌龙,1,0.3115,0.3186,0.1661,0.0,0.125,1.0,0.0,0.7,0.5882,0.3667,0.5168,0.5168,主候选,True,,该饮品与用户当前的【疲惫、疲惫、轻补充】较匹配，同时兼顾【无】与【常温】，适合作为当前场景下的个性化饮品推荐。,疲惫、轻补充、专注
REC071,S024,U024,R019,荔枝白茶,2,0.2924,0.3186,0.1661,0.0,0.125,1.0,0.0,0.7,0.6395,0.3597,0.515,0.515,主候选,True,,该饮品与用户当前的【疲惫、疲惫、轻补充】较匹配，同时兼顾【无】与【常温】，适合作为当前场景下的个性化饮品推荐。,疲惫、轻补充、专注
REC072,S024,U024,R003,葡萄柠檬茉莉花茶,3,0.1709,0.3165,0.1593,0.0,0.125,1.0,0.0,0.7,0.8812,0.3103,0.5038,0.5038,主候选,True,,该饮品与用户当前的【疲惫、疲惫、轻补充】较匹配，同时兼顾【无】与【常温】，适合作为当前场景下的个性化饮品推荐。,疲惫、轻补充、专注
REC073,S025,U025,R012,鲜橙养乐多,1,0.0847,0.3196,0.1694,0.0,0.125,1.0,0.0,0.7,0.8729,0.2679,0.4803,0.4803,主候选,True,,该饮品与用户当前的【无明显不适、烦躁、想宁静】较匹配，同时兼顾【无】与【常温】，适合作为当前场景下的个性化饮品推荐。,烦躁、清爽
REC074,S025,U025,R002,蜂蜜柠檬茶,2,0.0869,0.3053,0.1529,0.0,0.0625,1.0,0.0,0.7,0.8227,0.2615,0.4686,0.4686,主候选,True,,该饮品与用户当前的【无明显不适、烦躁、想宁静】较匹配，同时兼顾【无】与【常温】，适合作为当前场景下的个性化饮品推荐。,烦躁、清爽
REC075,S025,U025,R072,菊花柠檬茶,3,-0.0513,0.3112,0.1486,0.0,0.1111,1.0,0.0,1.0,0.9255,0.2296,0.4701,0.4701,兜底补足,True,,该饮品与用户当前的【无明显不适、烦躁、想宁静】较匹配，同时兼顾【无】与【常温】，适合作为当前场景下的个性化饮品推荐。,烦躁、清爽
REC076,S026,U026,R018,茉莉苹果奶绿,1,0.0287,0.2866,0.0864,0.0,0.0714,1.0,0.0,0.7,0.7247,0.2209,0.4416,0.4416,主候选,True,,该饮品与用户当前的【饱腹、紧张、想轻盈】较匹配，同时兼顾【忌油腻、夜间慎用高咖啡因】与【常温】，适合作为当前场景下的个性化饮品推荐。,清爽
REC077,S026,U026,R002,蜂蜜柠檬茶,2,0.0151,0.286,0.0886,0.0,0.0625,1.0,0.0,0.7,0.5884,0.2071,0.4247,0.4247,主候选,True,,该饮品与用户当前的【饱腹、紧张、想轻盈】较匹配，同时兼顾【忌油腻、夜间慎用高咖啡因】与【常温】，适合作为当前场景下的个性化饮品推荐。,清爽
REC078,S026,U026,R072,菊花柠檬茶,3,-0.0562,0.2917,0.1111,0.0,0.0556,1.0,0.0,1.0,0.9455,0.2213,0.4623,0.4623,兜底补足,True,,该饮品与用户当前的【饱腹、紧张、想轻盈】较匹配，同时兼顾【忌油腻、夜间慎用高咖啡因】与【常温】，适合作为当前场景下的个性化饮品推荐。,紧张、清爽
REC079,S027,U027,R014,蓝莓奶昔,1,0.239,0.3453,0.2032,0.125,0.0625,1.0,0.0,0.7,0.6355,0.3421,0.5075,0.5075,主候选,True,,该饮品与用户当前的【疲惫、疲惫、清爽】较匹配，同时兼顾【无】与【常温】，适合作为当前场景下的个性化饮品推荐。,疲惫、清爽、想放松、果香
