input_id,body,mood,scene,flavor_preference,temperature_preference,limits,推荐方向,top1_recipe_id,top1_name,top1_score,top1_reason,top2_recipe_id,top2_name,top2_score,top2_reason,top3_recipe_id,top3_name,top3_score,top3_reason,manual_choice,manual_note
U0019,良好、疲劳,低落,家/宿舍,果香、甜感,常温,,常温果香甜感型,R022,苹果茉莉绿茶,0.7729,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、甜感；匹配你的冷热偏好：常温,R007,蓝莓白茶,0.7729,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、甜感；匹配你的冷热偏好：常温,R016,柠檬铁观音,0.7729,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、甜感；匹配你的冷热偏好：常温,,
U0020,疲劳、感觉有点热,平静,商场/商业街、公园/户外,清爽,冷饮,低糖,低糖冷饮清爽型,R050,柠檬草橙子,0.7352,匹配你的心情状态：平静；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,R119,椰子水橙子,0.7352,匹配你的心情状态：平静；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,R048,玫瑰草莓,0.7686,匹配你的身体状态：感觉有点热；匹配你的场景：公园/户外、商场/商业街；匹配你的感官偏好：清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,,
U0021,疲劳,低落,图书馆/自习室,清爽,热饮,,热饮清爽型,R091,低因咖啡椰奶,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮,R062,玄米茶燕麦奶,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮,R076,焙茶奶泡,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮,,
U0024,疲劳,平静,图书馆/自习室,清爽,热饮,低糖,低糖热饮清爽型,R020,草莓玄米茶,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R014,葡萄焙茶,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R028,苹果焙茶,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,,
U0026,良好,紧张,商场/商业街,清爽,常温,咖啡因敏感慎用,咖啡因敏感慎用常温清爽型,R043,金银花菊花,0.8071,匹配你的身体状态：良好；匹配你的感官偏好：清爽；匹配你的冷热偏好：常温；已考虑你的健康约束：咖啡因敏感慎用,R053,百合椰子水,0.8071,匹配你的身体状态：良好；匹配你的感官偏好：清爽；匹配你的冷热偏好：常温；已考虑你的健康约束：咖啡因敏感慎用,R038,菊花柠檬草,0.735,匹配你的心情状态：紧张；匹配你的感官偏好：清爽；已考虑你的健康约束：咖啡因敏感慎用,,
U0029,良好,平静,商场/商业街,咖啡香、苦感,热饮,低糖,低糖热饮咖啡香苦感型,R061,焙茶鲜奶,0.7195,匹配你的感官偏好：咖啡香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R075,红茶淡奶油,0.7195,匹配你的感官偏好：苦感；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R030,芒果红茶,0.7255,匹配你的心情状态：平静；匹配你的感官偏好：苦感；已考虑你的健康约束：低糖,,
U0031,疲劳,低落,家/宿舍,清爽、果香,冷饮,低糖,低糖冷饮清爽果香型,R083,冷萃咖啡椰子水,0.8073,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,R081,美式咖啡液橙子,0.8073,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,R009,桃子轻发酵乌龙,0.8072,匹配你的身体状态：疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,,
U0032,困倦、疲劳,平静,家/宿舍,清爽、果香,冷饮,,冷饮清爽果香型,R009,桃子轻发酵乌龙,0.8072,匹配你的身体状态：困倦、疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮,R012,荔枝茉莉绿茶,0.8072,匹配你的身体状态：困倦、疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮,R033,草莓茉莉绿茶,0.8072,匹配你的身体状态：困倦、疲劳；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：冷饮,,
U0035,疲劳,平静,家/宿舍,清爽,热饮,低糖,低糖热饮清爽型,R045,荷叶陈皮,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R038,菊花柠檬草,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R008,苹果玄米茶,0.8072,匹配你的身体状态：疲劳；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,,
U0036,疲劳,烦躁,家/宿舍,清爽,热饮,低刺激,低刺激热饮清爽型,R055,薰衣草蓝莓,0.8058,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R038,菊花柠檬草,0.8058,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R045,荷叶陈皮,0.8057,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,,
U0038,良好、疲劳,烦躁,家/宿舍,清爽,热饮,乳糖不耐慎用,乳糖不耐慎用热饮清爽型,R038,菊花柠檬草,0.7685,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：乳糖不耐慎用,R045,荷叶陈皮,0.7685,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：乳糖不耐慎用,R055,薰衣草蓝莓,0.7685,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：乳糖不耐慎用,,
U0039,良好,平静,图书馆/自习室,奶香、茶香,冷饮,低糖,低糖冷饮茶香奶香型,R061,焙茶鲜奶,0.6832,匹配你的场景：图书馆/自习室；匹配你的感官偏好：奶香、茶香；已考虑你的健康约束：低糖,R075,红茶淡奶油,0.6832,匹配你的场景：图书馆/自习室；匹配你的感官偏好：奶香、茶香；已考虑你的健康约束：低糖,R030,芒果红茶,0.7308,匹配你的心情状态：平静；匹配你的场景：图书馆/自习室；匹配你的感官偏好：茶香；已考虑你的健康约束：低糖,,
U0042,疲劳,紧张,学校/教学楼、图书馆/自习室,茶香,常温,低糖、咖啡因敏感慎用,低糖常温茶香型,R061,焙茶鲜奶,0.7569,匹配你的身体状态：疲劳；匹配你的场景：图书馆/自习室、学校/教学楼；匹配你的感官偏好：茶香；已考虑你的健康约束：低糖、咖啡因敏感慎用,R075,红茶淡奶油,0.7569,匹配你的身体状态：疲劳；匹配你的场景：图书馆/自习室、学校/教学楼；匹配你的感官偏好：茶香；已考虑你的健康约束：低糖、咖啡因敏感慎用,R045,荷叶陈皮,0.7866,匹配你的身体状态：疲劳；匹配你的心情状态：紧张；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0046,疲劳,平静,家/宿舍,甜感,常温,低糖、乳糖不耐慎用,低糖常温甜感型,R022,苹果茉莉绿茶,0.8402,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的感官偏好：甜感；匹配你的冷热偏好：常温；已考虑你的健康约束：低糖、乳糖不耐慎用,R030,芒果红茶,0.8402,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的感官偏好：甜感；匹配你的冷热偏好：常温；已考虑你的健康约束：低糖、乳糖不耐慎用,R039,茉莉花白茶,0.8053,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的感官偏好：甜感；已考虑你的健康约束：低糖、乳糖不耐慎用,,
U0047,疲劳,紧张,家/宿舍、图书馆/自习室,清爽、果香、花香,常温,低糖、咖啡因敏感慎用,低糖常温清爽果香型,R038,菊花柠檬草,0.8056,匹配你的身体状态：疲劳；匹配你的心情状态：紧张；匹配你的场景：家/宿舍；匹配你的感官偏好：果香、清爽、花香；已考虑你的健康约束：低糖、咖啡因敏感慎用,R045,荷叶陈皮,0.8056,匹配你的身体状态：疲劳；匹配你的心情状态：紧张；匹配你的场景：家/宿舍；匹配你的感官偏好：果香、清爽、花香；已考虑你的健康约束：低糖、咖啡因敏感慎用,R055,薰衣草蓝莓,0.8055,匹配你的身体状态：疲劳；匹配你的心情状态：紧张；匹配你的场景：家/宿舍；匹配你的感官偏好：果香、清爽、花香；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0051,困倦、感觉有点冷,紧张,地铁/公交/车站、公园/户外,咖啡香、苦感、清爽,热饮,低糖,低糖热饮清爽咖啡香型,R038,菊花柠檬草,0.7973,匹配你的身体状态：感觉有点冷；匹配你的心情状态：紧张；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R055,薰衣草蓝莓,0.7973,匹配你的身体状态：感觉有点冷；匹配你的心情状态：紧张；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,R045,荷叶陈皮,0.8026,匹配你的身体状态：感觉有点冷；匹配你的心情状态：紧张；匹配你的感官偏好：清爽、苦感；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖,,
U0052,感觉有点冷,平静,公园/户外,花香、清爽,热饮,低刺激,低刺激热饮清爽花香型,R038,菊花柠檬草,0.8401,匹配你的身体状态：感觉有点冷；匹配你的心情状态：平静；匹配你的感官偏好：清爽、花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R045,荷叶陈皮,0.8401,匹配你的身体状态：感觉有点冷；匹配你的心情状态：平静；匹配你的感官偏好：清爽、花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R055,薰衣草蓝莓,0.8401,匹配你的身体状态：感觉有点冷；匹配你的心情状态：平静；匹配你的感官偏好：清爽、花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,,
U0053,困倦,烦躁,学校/教学楼、地铁/公交/车站,茶香、清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽茶香型,R045,荷叶陈皮,0.6749,匹配你的感官偏好：清爽；已考虑你的健康约束：咖啡因敏感慎用,R038,菊花柠檬草,0.6749,匹配你的感官偏好：清爽；已考虑你的健康约束：咖啡因敏感慎用,R055,薰衣草蓝莓,0.6749,匹配你的感官偏好：清爽；已考虑你的健康约束：咖啡因敏感慎用,,
U0056,疲劳,烦躁,商场/商业街,奶香、甜感,冷饮,,冷饮奶香甜感型,R009,桃子轻发酵乌龙,0.7955,匹配你的身体状态：疲劳；匹配你的感官偏好：甜感；匹配你的冷热偏好：冷饮,R012,荔枝茉莉绿茶,0.7955,匹配你的身体状态：疲劳；匹配你的感官偏好：甜感；匹配你的冷热偏好：冷饮,R033,草莓茉莉绿茶,0.7955,匹配你的身体状态：疲劳；匹配你的感官偏好：甜感；匹配你的冷热偏好：冷饮,,
U0057,困倦、感觉有点冷,平静,家/宿舍、公园/户外,茶香、清爽,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽茶香型,R038,菊花柠檬草,0.8006,匹配你的身体状态：感觉有点冷；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：咖啡因敏感慎用,R055,薰衣草蓝莓,0.8006,匹配你的身体状态：感觉有点冷；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：咖啡因敏感慎用,R045,荷叶陈皮,0.8006,匹配你的身体状态：感觉有点冷；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：咖啡因敏感慎用,,
U0058,疲劳、困倦,平静,家/宿舍、学校/教学楼、图书馆/自习室,茶香、清爽,冷饮,低糖、咖啡因敏感慎用,低糖冷饮清爽茶香型,R045,荷叶陈皮,0.7627,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用,R038,菊花柠檬草,0.7627,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用,R055,薰衣草蓝莓,0.7626,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用,,
U0059,良好,开心,商场/商业街,果香、酸感、清爽,热饮,低糖、低刺激,低糖热饮清爽果香型,R050,柠檬草橙子,0.8054,匹配你的身体状态：良好；匹配你的心情状态：开心；匹配你的感官偏好：果香、清爽、酸感；已考虑你的健康约束：低糖、低刺激,R119,椰子水橙子,0.8054,匹配你的身体状态：良好；匹配你的心情状态：开心；匹配你的感官偏好：果香、清爽、酸感；已考虑你的健康约束：低糖、低刺激,R113,椰奶荔枝,0.7347,匹配你的心情状态：开心；匹配你的场景：商场/商业街；匹配你的感官偏好：果香、清爽；已考虑你的健康约束：低糖、低刺激,,
U0061,良好,紧张,学校/教学楼,清爽、果香,热饮,低糖、低刺激,低糖热饮清爽果香型,R038,菊花柠檬草,0.7717,匹配你的心情状态：紧张；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、低刺激,R045,荷叶陈皮,0.7717,匹配你的心情状态：紧张；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、低刺激,R055,薰衣草蓝莓,0.7716,匹配你的心情状态：紧张；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低糖、低刺激,,
U0065,困倦、感觉有点热,紧张,地铁/公交/车站、公园/户外,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型,R053,百合椰子水,0.6707,匹配你的场景：地铁/公交/车站；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,R050,柠檬草橙子,0.6707,匹配你的场景：地铁/公交/车站；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,R119,椰子水橙子,0.6707,匹配你的场景：地铁/公交/车站；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,,
U0066,良好,紧张,图书馆/自习室,清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽型,R045,荷叶陈皮,0.7716,匹配你的心情状态：紧张；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激、咖啡因敏感慎用,R038,菊花柠檬草,0.7716,匹配你的心情状态：紧张；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激、咖啡因敏感慎用,R055,薰衣草蓝莓,0.7715,匹配你的心情状态：紧张；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激、咖啡因敏感慎用,,
U0067,困倦,紧张,学校/教学楼、图书馆/自习室,清爽、果香、酸感,热饮,咖啡因敏感慎用,咖啡因敏感慎用热饮清爽果香型,R038,菊花柠檬草,0.7655,匹配你的心情状态：紧张；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：咖啡因敏感慎用,R045,荷叶陈皮,0.7655,匹配你的心情状态：紧张；匹配你的感官偏好：果香、清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：咖啡因敏感慎用,R055,薰衣草蓝莓,0.7716,匹配你的心情状态：紧张；匹配你的感官偏好：果香、清爽、酸感；匹配你的冷热偏好：热饮；已考虑你的健康约束：咖啡因敏感慎用,,
U0068,感觉有点热,平静,商场/商业街、公园/户外,清爽、茶香,冷饮,低糖,低糖冷饮清爽茶香型,R050,柠檬草橙子,0.7268,匹配你的心情状态：平静；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,R119,椰子水橙子,0.7268,匹配你的心情状态：平静；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖,R102,苹果陈皮气泡饮,0.7966,匹配你的身体状态：感觉有点热；匹配你的场景：公园/户外、商场/商业街；匹配你的感官偏好：清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,,
U0071,疲劳,低落,家/宿舍,花香、清爽,热饮,低刺激、咖啡因敏感慎用,低刺激热饮清爽花香型,R038,菊花柠檬草,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽、花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激、咖啡因敏感慎用,R055,薰衣草蓝莓,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽、花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激、咖啡因敏感慎用,R045,荷叶陈皮,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：低落；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽、花香；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激、咖啡因敏感慎用,,
U0072,困倦、疲劳,开心,家/宿舍、学校/教学楼,茶香、清爽,冷饮,咖啡因敏感慎用,咖啡因敏感慎用冷饮清爽茶香型,R055,薰衣草蓝莓,0.7148,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：咖啡因敏感慎用,R038,菊花柠檬草,0.7148,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：咖啡因敏感慎用,R045,荷叶陈皮,0.7148,匹配你的身体状态：疲劳；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：咖啡因敏感慎用,,
U0073,疲劳,平静,家/宿舍、图书馆/自习室,清爽,冷饮,低糖,低糖冷饮清爽型,R006,草莓红茶,0.8055,匹配你的身体状态：疲劳；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,R023,西瓜绿茶,0.8055,匹配你的身体状态：疲劳；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,R009,桃子轻发酵乌龙,0.8055,匹配你的身体状态：疲劳；匹配你的场景：图书馆/自习室；匹配你的感官偏好：清爽；匹配你的冷热偏好：冷饮；已考虑你的健康约束：低糖,,
U0074,疲劳,平静,家/宿舍、地铁/公交/车站,清爽、茶香,冷饮,低糖、咖啡因敏感慎用、乳糖不耐慎用,低糖冷饮清爽茶香型,R038,菊花柠檬草,0.7993,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用、乳糖不耐慎用,R045,荷叶陈皮,0.7993,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用、乳糖不耐慎用,R055,薰衣草蓝莓,0.7993,匹配你的身体状态：疲劳；匹配你的心情状态：平静；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；已考虑你的健康约束：低糖、咖啡因敏感慎用、乳糖不耐慎用,,
U0075,疲劳,开心,家/宿舍,清爽,热饮,低刺激,低刺激热饮清爽型,R037,玫瑰桂花,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：开心；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R040,薰衣草洋甘菊,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：开心；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,R046,百合桂花,0.8394,匹配你的身体状态：疲劳；匹配你的心情状态：开心；匹配你的场景：家/宿舍；匹配你的感官偏好：清爽；匹配你的冷热偏好：热饮；已考虑你的健康约束：低刺激,,
